total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Región del Maule,Chanco,Raulí,0,0
Región del Maule,Chanco,Tamarugo,0,0
Región del Maule,Chanco,Otras Especies Exóticas,17,218.011452213194
Región del Maule,Chanco,Otras Coníferas,1,0.034878131114
Región del Maule,Chanco,Otras Especies Nativas,3,2.78745471278
Región del Maule,Chanco,Especie Nativa y Especie Exótica,3,18.6
Región del Maule,Pelluhue,Total,122,11400.01706872047
Región del Maule,Pelluhue,Sin clasificar,2,10
Región del Maule,Pelluhue,Acacia,0,0
Región del Maule,Pelluhue,Álamo,0,0
Región del Maule,Pelluhue,Aromo,4,2.731241691998
Región del Maule,Pelluhue,Atriplex sp,0,0
Región del Maule,Pelluhue,Eucalipto Blanco (Eucalyptus Globulus),68,2714.39945740393
Región del Maule,Pelluhue,Eucalyptus Nitens,2,233.20314355047
Región del Maule,Pelluhue,Pino Ponderosa (Pinus Ponderosa),2,6.29
Región del Maule,Pelluhue,Pino Radiata o Insigne (Pinus Radiata),80,7879.340341043605
Región del Maule,Pelluhue,Pino Oregón (Pseudotsuga Menziesii),0,0
Región del Maule,Pelluhue,Coigüe,0,0
Región del Maule,Pelluhue,Quillay,0,0
Región del Maule,Pelluhue,Raulí,0,0
Región del Maule,Pelluhue,Tamarugo,0,0
Región del Maule,Pelluhue,Otras Especies Exóticas,20,541.975380763325
Región del Maule,Pelluhue,Otras Coníferas,1,0.139010893709
Región del Maule,Pelluhue,Otras Especies Nativas,4,11.93849337343
Región del Maule,Pelluhue,Especie Nativa y Especie Exótica,0,0
Región del Maule,Curicó,Total,30,1722.257621434007
Región del Maule,Curicó,Sin clasificar,0,0
Región del Maule,Curicó,Acacia,0,0
Región del Maule,Curicó,Álamo,1,0.0125570775
Región del Maule,Curicó,Aromo,0,0
Región del Maule,Curicó,Atriplex sp,0,0
Región del Maule,Curicó,Eucalipto Blanco (Eucalyptus Globulus),19,114.05339077312
Región del Maule,Curicó,Eucalyptus Nitens,4,9.5
Región del Maule,Curicó,Pino Ponderosa (Pinus Ponderosa),0,0
Región del Maule,Curicó,Pino Radiata o Insigne (Pinus Radiata),10,1598.691673583387
Región del Maule,Curicó,Pino Oregón (Pseudotsuga Menziesii),0,0
Región del Maule,Curicó,Coigüe,0,0
Región del Maule,Curicó,Quillay,0,0
Región del Maule,Curicó,Raulí,0,0
Región del Maule,Curicó,Tamarugo,0,0
Región del Maule,Curicó,Otras Especies Exóticas,0,0
Región del Maule,Curicó,Otras Coníferas,0,0
Región del Maule,Curicó,Otras Especies Nativas,0,0
Región del Maule,Curicó,Especie Nativa y Especie Exótica,0,0
Región del Maule,Hualañé,Total,103,12221.34356314036
Región del Maule,Hualañé,Sin clasificar,0,0
Región del Maule,Hualañé,Acacia,0,0
Región del Maule,Hualañé,Álamo,0,0
Región del Maule,Hualañé,Aromo,3,41
Región del Maule,Hualañé,Atriplex sp,0,0
Región del Maule,Hualañé,Eucalipto Blanco (Eucalyptus Globulus),77,656.835491662338
Región del Maule,Hualañé,Eucalyptus Nitens,2,8.257576715999999
Región del Maule,Hualañé,Pino Ponderosa (Pinus Ponderosa),0,0
Región del Maule,Hualañé,Pino Radiata o Insigne (Pinus Radiata),51,10317.00049475771
Región del Maule,Hualañé,Pino Oregón (Pseudotsuga Menziesii),3,1190.4
Región del Maule,Hualañé,Coigüe,0,0
Región del Maule,Hualañé,Quillay,0,0
Región del Maule,Hualañé,Raulí,0,0
Región del Maule,Hualañé,Tamarugo,0,0
Región del Maule,Hualañé,Otras Especies Exóticas,1,7.850000004315
Región del Maule,Hualañé,Otras Coníferas,0,0
Región del Maule,Hualañé,Otras Especies Nativas,0,0
Región del Maule,Hualañé,Especie Nativa y Especie Exótica,0,0
Región del Maule,Licantén,Total,97,7230.909211489047
Región del Maule,Licantén,Sin clasificar,2,25.367545772194
Región del Maule,Licantén,Acacia,0,0
Región del Maule,Licantén,Álamo,0,0
Región del Maule,Licantén,Aromo,0,0
Región del Maule,Licantén,Atriplex sp,0,0
Región del Maule,Licantén,Eucalipto Blanco (Eucalyptus Globulus),65,594.225672673624
Región del Maule,Licantén,Eucalyptus Nitens,7,81.81228830792799
Región del Maule,Licantén,Pino Ponderosa (Pinus Ponderosa),0,0
Región del Maule,Licantén,Pino Radiata o Insigne (Pinus Radiata),59,6457.259011693927
Región del Maule,Licantén,Pino Oregón (Pseudotsuga Menziesii),0,0
Región del Maule,Licantén,Coigüe,0,0
Región del Maule,Licantén,Quillay,0,0
Región del Maule,Licantén,Raulí,0,0
Región del Maule,Licantén,Tamarugo,0,0
