total_nacional_region__,comuna_56__,total__numero_de_upa7,total__superficie_ha,tamano_de_la_upa__menores_de_1_ha__numero_de_upa,tamano_de_la_upa__menores_de_1_ha__superficie_ha,tamano_de_la_upa__de_1_a_menos_de_5_ha__numero_de_upa,tamano_de_la_upa__de_1_a_menos_de_5_ha__superficie_ha,tamano_de_la_upa__de_5_a_menos_de_1ha__numero_de_upa,tamano_de_la_upa__de_5_a_menos_de_1ha__superficie_ha,tamano_de_la_upa__de_1a_menos_de_2ha__numero_de_upa,tamano_de_la_upa__de_1a_menos_de_2ha__superficie_ha,tamano_de_la_upa__de_2a_menos_de_5ha__numero_de_upa,tamano_de_la_upa__de_2a_menos_de_5ha__superficie_ha,tamano_de_la_upa__de_5a_menos_de_10ha__numero_de_upa,tamano_de_la_upa__de_5a_menos_de_10ha__superficie_ha,tamano_de_la_upa__de_10a_menos_de_20ha__numero_de_upa,tamano_de_la_upa__de_10a_menos_de_20ha__superficie_ha,tamano_de_la_upa__de_20a_menos_de_50ha__numero_de_upa,tamano_de_la_upa__de_20a_menos_de_50ha__superficie_ha,tamano_de_la_upa__de_50a_menos_de_1.00ha__numero_de_upa,tamano_de_la_upa__de_50a_menos_de_1.00ha__superficie_ha,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__numero_de_upa,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__superficie_ha,tamano_de_la_upa__de_2.00ha_y_mas__numero_de_upa,tamano_de_la_upa__de_2.00ha_y_mas__superficie_ha
Región del Biobío,San Rosendo,77,8798.2500727392,9,3.169,23,52.989,14,94.08500000000001,15,218.7,9,357.455,5,370.48,1,116.2399996258,0,0,0,0,0,0,1,7585.1320731134
Región del Biobío,Santa Bárbara,636,70541.6719929199,27,15.3809,194,576.956,108,762.845,121,1659.9289999991,85,2611.1779999988,43,3040.7,24,3349.359,16,5674.39,12,8039.5,2,3000,4,41811.434092922
Región del Biobío,Tucapel,406,50682.927009733,11,5.154,107,319.77,80,548.647,81,1135.64,63,1887.065,33,2152.567,19,2706.438,4,978.5,4,2990.37,1,1197.716,3,36761.060009733
Región del Biobío,Yumbel,838,36002.1677645734,82,40.848,282,765.272,165,1130.05985,133,1816.68,103,3236.79125,43,3072.9145000042,14,1976.05,11,3241.7979999048,3,1884.11,1,1429.7,1,17407.9441646644
Región del Biobío,Alto Biobío,571,34802.866,40,19.5,434,905.466,46,277.4,19,243,18,513.5,4,229,2,250,1,450,2,1400,2,2468,3,28047
Región de La Araucanía,Total Región,36552,1910167.97394177,1126,584.176,11145,32750.7155396393,8811,61810.3025151015,7210,98602.097526095,4997,152183.0464424891,1635,111497.3000993661,789,108421.9495468751,491,148906.0776758309,187,132826.2856527482,103,142454.6008158788,58,920131.4221277459
Región de La Araucanía,Temuco,2014,31047.6680859516,127,66.0753,793,2273.7053999998,511,3625.515,380,5167.4478,143,3873.0805,28,1913.89,18,2629.191087704,11,2866.28,1,760.1999999999999,1,1624.69,1,6247.5929982478
Región de La Araucanía,Carahue,2154,91089.5658717696,32,18.149,461,1403.8114999976,516,3659.5603,486,6860.4929999994,449,13997.1619999991,140,9249.9648,44,6033.51,13,4083.79,8,5614.700000032,3,4146.5330014348,2,36021.8922703067
Región de La Araucanía,Cunco,1374,78072.6181196778,12,7.2293,293,902.973,295,2079.3278,302,4172.8710000006,256,8157.873,95,6393.894999992,48,6724.710000012,39,12486.8030000189,25,17437.2474999439,8,10466.68,1,9243.0085197104
Región de La Araucanía,Curarrehue,687,28647.7778,8,4.3188,166,522.944,141,973.01,143,1995.025,125,3799.05,41,2790.725,35,4644.485,19,5200.22,6,4469.1,2,2076,1,2172.9
Región de La Araucanía,Freire,1946,51352.0276021173,95,47.0869999996,731,2143.0662999978,527,3601.4097999998,317,4184.018000033,148,4260.1065000083,42,2814.5299999986,35,4871.2299999779,29,8649.4638165279,15,10717.0899355106,7,10064.0262500638,0,0
Región de La Araucanía,Galvarino,1492,41412.0373407597,44,20.336,354,1117.036,356,2530.825,396,5461.2412408231,252,7037.9785,44,2787.5920967742,21,3010.6469827573,10,2924.192534495,7,4675.8656451613,7,9443.8233407488,1,2402.5
Región de La Araucanía,Gorbea,822,45717.2113711235,13,7.03,140,390.5500000001,162,1137.9485869572,160,2123.890560747,178,5712.862499998,77,5303.1790032078,52,6793.8793478341,31,9064.9119392422,7,4630.4499999688,1,1119.3900000325,1,9433.1194331358
Región de La Araucanía,Lautaro,1916,62104.4958634803,61,30.5633,719,2113.5191000005,517,3641.1383999994,336,4392.2664999958,158,4610.6395500401,59,4082.3395355923,27,3721.2399999905,21,6436.0637500155,7,4638.319999993,5,6244.52,6,22193.8857278532
Región de La Araucanía,Loncoche,1338,63311.0075006783,16,9.37,262,799.6512016386,312,2177.842,314,4453.9779999999,285,8869.3022000086,93,6474.3791983575,28,3952.5799999994,23,7084.0550000179,1,702,2,2780.19,2,26007.6599006564
Región de La Araucanía,Melipeuco,363,38491.6875000454,7,4.560000000000001,89,260.0967,84,615.61,53,724.0208,49,1507.04,39,2761.3,24,3022.5,5,1496.6,3,1947.0000000075,5,6865.620000037899,5,19287.34
Región de La Araucanía,Nueva Imperial,2298,40013.4697472243,56,28.75,834,2589.5890000012,677,4723.0929000017,469,6321.821,191,5541.9845,41,2759.03,13,1699.39,11,3223.62,2,1378.2823349275,2,2461.88,2,9286.0300122939
Región de La Araucanía,Padre Las Casas,2768,16499.0916921727,229,118.089,1599,4476.3079999997,669,4532.5073,203,2588.4632499956,50,1352.2337500012,6,367.92,7,1022.0600138141,3,914.9603783714001,2,1126.5499999907,0,0,0,0
Región de La Araucanía,Perquenco,688,24888.2919999752,41,20.581,303,828.558,155,1074.4150000007,78,1060.808,43,1246.84,18,1247.3200000102,15,2127.0305000043,22,6142.9295000039,9,6099.0699999959,4,5040.7399999602,0,0
Región de La Araucanía,Pitrufquén,1619,42540.0904459613,59,32.4775999998,486,1390.7365999915,385,2715.6991000002,350,4737.5591998441,215,6517.8850000057,80,5434.8479999933,27,3626.1700000072,10,3056.3500000476,5,3562.9299998615,1,1513.4049462104,1,9952.029999999999
Región de La Araucanía,Pucón,437,132098.421988,7,4.006,93,283.059988,81,578.207,81,1121.1225,78,2510.87,37,2556.5,33,4416.9175,15,4251.615,6,3921.998,5,8042.9,1,104411.226
Región de La Araucanía,Saavedra,1723,21974.0932667478,25,13.4400000001,551,1660.9670000016,540,3854.1477774091,391,5351.5029999994,160,4619.9800000048,44,2968.348,6,796.1775,3,668.08,3,2041.4499893328,0,0,0,0
Región de La Araucanía,Teodoro Schmidt,2034,44604.7232222694,26,14.8500000005,514,1647.5699999995,527,3790.2259353045,512,7085.8028895783,325,9912.9100000033,74,4914.7099999964,38,5371.5393976909,14,3858.845,2,1316.4,0,0,2,6691.869999696
Región de La Araucanía,Toltén,1162,64796.3873285556,18,10.2149999999,267,781.9594999998,272,1907.2076000003,227,3130.303000001,257,7953.1814999953,69,4504.600000000201,32,4365.6890487882,9,2659.31,7,5154.93,1,1336,3,32992.9916797709
Región de La Araucanía,Vilcún,1559,75747.1255764286,84,45.758,536,1476.5002999995,350,2441.6118000004,257,3398.7163,174,5749.4400999972,58,4089,36,4899.3300000062,29,8518.99,19,13070.49,13,18291.99,3,13765.2990764253
Región de La Araucanía,Villarrica,1413,55009.1100754735,34,16.323,383,1125.858,325,2271.3843904303,303,4183.0677559068,230,7113.04095,63,4488.0789999622,31,4112.746753699,23,7027.115,12,8053.1582254906,6,8165.9099999846,3,8452.427
Región de La Araucanía,Cholchol,997,19351.7057704611,13,5.51,364,1056.1991499999,290,1987.3410000008,209,2840.50275,96,2658.6048,15,1063.36,4,555.49,3,769.79,1,648.95,0,0,2,7765.9580704604
Región de La Araucanía,Angol,577,76770.775564368,30,16.89,135,379.3550000052,71,503.8025000019,110,1609.5334999792,123,3877.44,61,4056.6225,23,3231.76,16,4810.972190986,2,1331.155,2,2280.7599999604,4,54672.4848734353
Región de La Araucanía,Collipulli,622,87760.2088437487,30,14.5565,210,599.84,148,1005.6754,100,1417.925,77,2363.177,29,2127.7170000669,11,1571.46,10,3209.7135872627,5,3624.5,0,0,2,71825.6443564191
Región de La Araucanía,Curacautín,281,142585.2512950955,5,2.6,52,148.78,41,298.3499999999,53,731.53,57,1570.6637664476,23,1594.45,15,2003.1455468751,16,5404.0506866946,7,5518.65,5,6749.7199999845,7,118563.3112950938
Región de La Araucanía,Ercilla,75,24097.3940261818,2,1.03,15,43.1,16,119.20875,3,40.75,15,533.9387499943,7,507.5999999841,2,294.23,8,2395.4619073485,4,2974.5967184776,2,2239.2899997776,1,14948.1879005997
Región de La Araucanía,Lonquimay,1057,189936.529,27,13.405,217,570,176,1169.49,170,2300.48,215,6988.041,116,7952.4,68,9252.492,34,10348.51,9,6154,8,11686.7,17,133501.011
Región de La Araucanía,Los Sauces,615,60412.2389681928,7,2.3035,74,231.7599999944,112,806.4580000008,159,2194.9654790276,139,4248.3373931231,67,4532.4428119628,24,3225.5630926467,21,5685.5000000083,5,3704.91,5,6704.4333160036,2,29075.5653754255
Región de La Araucanía,Lumaco,668,65252.340197656,6,4.3800000002,109,318.5799999998,131,886.8738482801,118,1681.882500001,168,5107.6806250169,83,5853.49,25,3286.0900000003,18,5572.7771722792,6,4675.3016367015,3,3939.3159181168,1,33925.9684972602
Región de La Araucanía,Purén,722,28377.6383146133,16,8.064,138,417.386999998,185,1262.5300000008,135,1928.8400000001,157,5020.8680267164,44,3104.8399999917,26,3459.575,14,4624.3599999987,4,2983.1703904522,2,2392.5000000089,1,3175.5038974465
Región de La Araucanía,Renaico,247,17177.3448585503,19,9.1,79,208.9500000053,39,281.33,40,577.2665,33,992.29,15,1023.16,10,1497.98,7,2417.9225,4,2471.3658572372,0,0,1,7697.9800013078
Región de La Araucanía,Traiguén,736,63008.6404397917,14,7.799,82,248.28,149,1148.9580000044,221,3021.8080000006,120,3740.9972,52,3880.709999997,44,6733.7200000268,31,9946.5300000295,16,10378.542,4,4785.710000032,3,19115.5862397014
Región de La Araucanía,Victoria,862,86021.0042646988,6,3.11,240,723.293999968,176,1243.4039999997,189,2461.8500000014,94,2763.6834999956,38,2554.61,46,6512.3399999945,46,15428.2949999909,13,8631.13,11,14956.7174999224,3,30742.5702648263
Región de Los Ríos,Total Región,8749,1224008.426857959,268,134.1309,2162,6153.8956,1869,13006.4144,1676,23031.2979,1390,42757.9868,582,40140.8625,316,43097.746,254,79526.7201342813,117,82643.2545000652,67,89597.3423658615,48,803918.7757577512
Región de Los Ríos,Valdivia,353,67798.8751928431,21,8.234,77,216.787,50,357.821,45,632.889,65,1872.37,38,2603.33,29,3848.2100000044,18,5499.5265,3,2007.2875,2,3051,5,47701.4201928387
Región de Los Ríos,Corral,167,43791.09916578671,7,3.55,46,119.351,22,142.25,27,369.42,34,880.65,16,1130.55,8,982.2,2,505.5,1,720.64,1,1571.587114593,3,37365.4010511937
Región de Los Ríos,Lanco,457,34040.7520465018,4,2,90,257.23,109,791.936,125,1766.495,72,2187.586,24,1665,14,1887.185,11,3053.84236,6,4660.5476832673,1,1399.4,1,16369.5300032345
