total_nacional_region,comuna_6_7,tipo_de_cultivo,especie,numero_de_upa_8910,superficie_total_cultivo_ha,riego__superficie_ha,secano_superficie_ha,sin_clasificar_11_superficie_ha
Región de Coquimbo,La Serena,Forrajeras,Col,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Falaris,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Festuca,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Haba Forrajera,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Lotera o Alfalfa Chilota,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Maíz Para Silo,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Mezcla de Forrajeras,1,1,1,0,0
Región de Coquimbo,La Serena,Forrajeras,Mijo,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Nabo (incluye silo),0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Pasto Canario,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Pasto Miel,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Pasto Ovillo,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Sorgo,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Raps Forrajero,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Topinambur,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Alejandrino,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Balansa,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Blanco,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Encarnado,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Ladino,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Rosado,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Trébol Subterráneo,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Vicia,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Otras Forrajeras Anuales,0,0,0,0,0
Región de Coquimbo,La Serena,Forrajeras,Otras Forrajeras Permanentes,4,1.175,1.025,0.15,0
Región de Coquimbo,La Serena,Cultivos Industriales,Total,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Achicoria,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Alforfón (Trigo Sarraceno),0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Algodón,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Colza,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Curaguilla,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Estevia (o Stevia),0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Hinojo,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Jojoba,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Linaza,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Lupino Dulce,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Lupino Amargo,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Maní,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Maravilla,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Mimbre,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Mostaza,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Raps (Canola),0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Remolacha,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Soya,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Tabaco,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Tomate,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Topinambur,0,0,0,0,0
Región de Coquimbo,La Serena,Cultivos Industriales,Otros Industriales,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Total,69,718.717923513,699.717923513,19,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Arveja (Grano Seco),0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Chícharo,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Garbanzo,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Lenteja,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Poroto (Grano Seco),3,21,3,18,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Otras Leguminosas,1,4,4,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Mandioca (Yuca),1,7,7,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Oca,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Papa,66,685.217923513,684.217923513,1,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Papa Nativa,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Topinambur,0,0,0,0,0
Región de Coquimbo,La Serena,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,1,1.5,1.5,0,0
Región de Coquimbo,La Serena,Vides para vinificación y uvas pisqueras,Total,3,43.99999999999999,43.99999999999999,0,0
Región de Coquimbo,La Serena,Vides para vinificación y uvas pisqueras,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,La Serena,Vides para vinificación y uvas pisqueras,Tintas,3,17,17,0,0
Región de Coquimbo,La Serena,Vides para vinificación y uvas pisqueras,Blancas,3,27,27,0,0
Región de Coquimbo,La Serena,Vides para vinificación y uvas pisqueras,Pisqueras,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Total,16,21.599,18.849,2.75,0
Región de Coquimbo,Coquimbo,Cereales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Amaranto,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Arroz,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Avena (Grano Seco),1,7,7,0,0
Región de Coquimbo,Coquimbo,Cereales,Cebada Cervecera,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Centeno,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Chía,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Maíz,12,10.849,10.849,0,0
Región de Coquimbo,Coquimbo,Cereales,Mijo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Quinoa,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Sorgo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Trigo Blanco,4,3.75,1,2.75,0
Región de Coquimbo,Coquimbo,Cereales,Trigo Candeal,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Triticale,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cereales,Otros Cereales,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Total,54,83.11,70.61,12.5,0
Región de Coquimbo,Coquimbo,Forrajeras,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Alfalfa,46,69.36,68.06,1.3,0
Región de Coquimbo,Coquimbo,Forrajeras,Arveja Forrajera,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Arvejilla,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Avena (Forrajera) Sola,2,0.4,0.4,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Avena Asociada,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Ballica Anual,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Ballica Bianual,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Ballica Perenne o Persistente,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Betarraga Forrajera,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Cebada Forrajera (incluye silo),5,11.6,0.4,11.2,0
Región de Coquimbo,Coquimbo,Forrajeras,Centeno Forrajero,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Col,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Falaris,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Festuca,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Haba Forrajera,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Lotera o Alfalfa Chilota,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Maíz Para Silo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Mezcla de Forrajeras,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Mijo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Nabo (incluye silo),0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Pasto Canario,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Pasto Miel,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Pasto Ovillo,1,0.5,0.5,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Sorgo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Raps Forrajero,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Topinambur,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Alejandrino,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Balansa,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Blanco,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Encarnado,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Ladino,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Rosado,1,1.25,1.25,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Trébol Subterráneo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Vicia,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Otras Forrajeras Anuales,0,0,0,0,0
Región de Coquimbo,Coquimbo,Forrajeras,Otras Forrajeras Permanentes,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Total,2,2.18,2.18,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Achicoria,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Alforfón (Trigo Sarraceno),0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Algodón,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Colza,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Curaguilla,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Estevia (o Stevia),0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Hinojo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Jojoba,1,1.78,1.78,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Linaza,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Lupino Dulce,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Lupino Amargo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Maní,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Maravilla,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Mimbre,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Mostaza,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Raps (Canola),0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Remolacha,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Soya,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Tabaco,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Tomate,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Topinambur,0,0,0,0,0
Región de Coquimbo,Coquimbo,Cultivos Industriales,Otros Industriales,1,0.4,0.4,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Total,73,490.832076487,490.832076487,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Arveja (Grano Seco),0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Chícharo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Garbanzo,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Lenteja,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Poroto (Grano Seco),1,1,1,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Otras Leguminosas,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Mandioca (Yuca),0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Oca,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Papa,72,489.832076487,489.832076487,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Papa Nativa,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Topinambur,0,0,0,0,0
Región de Coquimbo,Coquimbo,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,0,0,0,0,0
Región de Coquimbo,Coquimbo,Vides para vinificación y uvas pisqueras,Total,0,0,0,0,0
Región de Coquimbo,Coquimbo,Vides para vinificación y uvas pisqueras,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Coquimbo,Vides para vinificación y uvas pisqueras,Tintas,0,0,0,0,0
Región de Coquimbo,Coquimbo,Vides para vinificación y uvas pisqueras,Blancas,0,0,0,0,0
Región de Coquimbo,Coquimbo,Vides para vinificación y uvas pisqueras,Pisqueras,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Total,2,0.12,0.12,0,0
Región de Coquimbo,Andacollo,Cereales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Amaranto,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Arroz,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Avena (Grano Seco),0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Cebada Cervecera,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Centeno,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Chía,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Maíz,2,0.12,0.12,0,0
Región de Coquimbo,Andacollo,Cereales,Mijo,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Quinoa,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Sorgo,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Trigo Blanco,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Trigo Candeal,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Triticale,0,0,0,0,0
Región de Coquimbo,Andacollo,Cereales,Otros Cereales,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Total,9,6.949999999999999,2.85,4.1,0
Región de Coquimbo,Andacollo,Forrajeras,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Alfalfa,3,2.75,2.75,0,0
Región de Coquimbo,Andacollo,Forrajeras,Arveja Forrajera,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Arvejilla,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Avena (Forrajera) Sola,4,2.2,0.1,2.1,0
Región de Coquimbo,Andacollo,Forrajeras,Avena Asociada,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Ballica Anual,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Ballica Bianual,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Ballica Perenne o Persistente,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Betarraga Forrajera,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Cebada Forrajera (incluye silo),2,2,0,2,0
Región de Coquimbo,Andacollo,Forrajeras,Centeno Forrajero,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Col,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Falaris,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Festuca,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Haba Forrajera,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Lotera o Alfalfa Chilota,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Maíz Para Silo,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Mezcla de Forrajeras,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Mijo,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Nabo (incluye silo),0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Pasto Canario,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Pasto Miel,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Pasto Ovillo,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Sorgo,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Raps Forrajero,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Topinambur,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Alejandrino,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Balansa,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Blanco,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Encarnado,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Ladino,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Rosado,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Trébol Subterráneo,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Vicia,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Otras Forrajeras Anuales,0,0,0,0,0
Región de Coquimbo,Andacollo,Forrajeras,Otras Forrajeras Permanentes,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Total,1,0.5,0.5,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Achicoria,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Alforfón (Trigo Sarraceno),0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Algodón,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Colza,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Curaguilla,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Estevia (o Stevia),0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Hinojo,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Jojoba,1,0.5,0.5,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Linaza,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Lupino Dulce,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Lupino Amargo,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Maní,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Maravilla,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Mimbre,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Mostaza,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Raps (Canola),0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Remolacha,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Soya,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Tabaco,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Tomate,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Topinambur,0,0,0,0,0
Región de Coquimbo,Andacollo,Cultivos Industriales,Otros Industriales,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Total,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Arveja (Grano Seco),0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Chícharo,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Garbanzo,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Lenteja,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Poroto (Grano Seco),0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Otras Leguminosas,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Mandioca (Yuca),0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Oca,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Papa,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Papa Nativa,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Topinambur,0,0,0,0,0
Región de Coquimbo,Andacollo,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,0,0,0,0,0
Región de Coquimbo,Andacollo,Vides para vinificación y uvas pisqueras,Total,0,0,0,0,0
Región de Coquimbo,Andacollo,Vides para vinificación y uvas pisqueras,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,Andacollo,Vides para vinificación y uvas pisqueras,Tintas,0,0,0,0,0
Región de Coquimbo,Andacollo,Vides para vinificación y uvas pisqueras,Blancas,0,0,0,0,0
Región de Coquimbo,Andacollo,Vides para vinificación y uvas pisqueras,Pisqueras,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Total,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Amaranto,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Arroz,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Avena (Grano Seco),0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Cebada Cervecera,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Centeno,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Chía,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Maíz,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Mijo,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Quinoa,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Sorgo,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Trigo Blanco,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Trigo Candeal,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Triticale,0,0,0,0,0
Región de Coquimbo,La Higuera,Cereales,Otros Cereales,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Total,5,1.95,1.95,0,0
Región de Coquimbo,La Higuera,Forrajeras,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Alfalfa,4,1.7,1.7,0,0
Región de Coquimbo,La Higuera,Forrajeras,Arveja Forrajera,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Arvejilla,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Avena (Forrajera) Sola,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Avena Asociada,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Ballica Anual,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Ballica Bianual,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Ballica Perenne o Persistente,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Betarraga Forrajera,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Cebada Forrajera (incluye silo),0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Centeno Forrajero,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Col,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Falaris,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Festuca,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Haba Forrajera,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Lotera o Alfalfa Chilota,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Maíz Para Silo,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Mezcla de Forrajeras,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Mijo,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Nabo (incluye silo),0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Pasto Canario,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Pasto Miel,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Pasto Ovillo,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Sorgo,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Raps Forrajero,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Topinambur,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Alejandrino,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Balansa,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Blanco,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Encarnado,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Ladino,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Rosado,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Trébol Subterráneo,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Vicia,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Otras Forrajeras Anuales,0,0,0,0,0
Región de Coquimbo,La Higuera,Forrajeras,Otras Forrajeras Permanentes,1,0.25,0.25,0,0
Región de Coquimbo,La Higuera,Cultivos Industriales,Total,0,0,0,0,0
Región de Coquimbo,La Higuera,Cultivos Industriales,Sin Clasificar,0,0,0,0,0
Región de Coquimbo,La Higuera,Cultivos Industriales,Achicoria,0,0,0,0,0
Región de Coquimbo,La Higuera,Cultivos Industriales,Alforfón (Trigo Sarraceno),0,0,0,0,0
