total_nacional_region____,comuna6_7____,especie____,total__numero_de_upa89__,total__superficie_ha__,total__superficie_ha__en_riego,total__superficie_ha__en_secano,total__superficie_ha__sin_clasificar_10,total__estado_desarrollo_ha__en_formacion_11,total__estado_desarrollo_ha__en_produccion_12,total__estado_desarrollo_ha__sin_clasificar_10
Región de Arica y Parinacota,Total Región,Damasco,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Duraznero (Consumo Fresco),3,0.529,0.529,0,0,0,0.529,0
Región de Arica y Parinacota,Total Región,Duraznero (Tipo Conservero),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Granado,5,4.84,4.84,0,0,0.04,4.8,0
Región de Arica y Parinacota,Total Región,Higuera,1,0.01,0.01,0,0,0,0.01,0
Región de Arica y Parinacota,Total Región,Kiwi,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Lima (o Limón Sutil),15,43.375,43.375,0,0,5.825,37.55,0
Región de Arica y Parinacota,Total Región,Limón de Pica,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Limonero,26,11.086,11.086,0,0,3.405,7.681,0
Región de Arica y Parinacota,Total Región,Mandarina,6,12.4,12.4,0,0,1.5,10.9,0
Región de Arica y Parinacota,Total Región,Mango,53,51.122,51.122,0,0,17.03,34.092,0
Región de Arica y Parinacota,Total Región,Manzana,5,0.608,0.608,0,0,0.015,0.593,0
Región de Arica y Parinacota,Total Región,Membrillo,19,3.883,3.883,0,0,0.16,3.723,0
Región de Arica y Parinacota,Total Región,"Moras, Murta y Zarzaparrila",1,0.1,0.1,0,0,0,0.1,0
Región de Arica y Parinacota,Total Región,Naranjo,39,24.996,24.996,0,0,2.862,22.134,0
Región de Arica y Parinacota,Total Región,Nectarino,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Nogal,1,0.01,0.01,0,0,0,0.01,0
Región de Arica y Parinacota,Total Región,Olivo,61,268.75,266.75,2,0,0.65,268.1,0
Región de Arica y Parinacota,Total Región,Palto,27,41.476,41.476,0,0,4.251,37.225,0
Región de Arica y Parinacota,Total Región,Papayo,18,5.27,5.27,0,0,2.5,2.77,0
Región de Arica y Parinacota,Total Región,Pera,11,4.07,4.07,0,0,0,4.07,0
Región de Arica y Parinacota,Total Región,Pistacho,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Pomelo,4,1.6,1.6,0,0,0,1.6,0
Región de Arica y Parinacota,Total Región,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Tuna,25,11.072,11.072,0,0,1.7,9.372,0
Región de Arica y Parinacota,Total Región,Uva de Mesa,3,0.85,0.85,0,0,0,0.85,0
Región de Arica y Parinacota,Total Región,Otros Frutales,100,61.369,61.369,0,0,8.86,52.509,0
Región de Arica y Parinacota,Total Región,Quinta Frutal,25,11.95,11.95,0,0,2.2,9.75,0
Región de Arica y Parinacota,Arica,Total,189,516.57,511.87,4.7,0,45.785,468.085,2.7
Región de Arica y Parinacota,Arica,Sin Clasificar,2,2.7,0,2.7,0,0,0,2.7
Región de Arica y Parinacota,Arica,Almendro,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Berries,7,2.8,2.8,0,0,0,2.8,0
Región de Arica y Parinacota,Arica,Avellano Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Castaño,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cerezo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Chirimoyo,2,0.3,0.3,0,0,0,0.3,0
Región de Arica y Parinacota,Arica,Ciruelo Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Clementina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Damasco,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Duraznero (Consumo Fresco),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Duraznero (Tipo Conservero),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Granado,5,4.84,4.84,0,0,0.04,4.8,0
Región de Arica y Parinacota,Arica,Higuera,1,0.01,0.01,0,0,0,0.01,0
Región de Arica y Parinacota,Arica,Kiwi,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Lima (o Limón Sutil),13,43.225,43.225,0,0,5.825,37.4,0
Región de Arica y Parinacota,Arica,Limón de Pica,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Limonero,15,8.675,8.675,0,0,3.4,5.275,0
Región de Arica y Parinacota,Arica,Mandarina,6,12.4,12.4,0,0,1.5,10.9,0
Región de Arica y Parinacota,Arica,Mango,46,48.435,48.435,0,0,17.03,31.405,0
Región de Arica y Parinacota,Arica,Manzana,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Membrillo,3,0.4,0.4,0,0,0,0.4,0
Región de Arica y Parinacota,Arica,"Moras, Murta y Zarzaparrila",1,0.1,0.1,0,0,0,0.1,0
Región de Arica y Parinacota,Arica,Naranjo,24,18.695,18.695,0,0,0.81,17.885,0
Región de Arica y Parinacota,Arica,Nectarino,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Nogal,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Olivo,61,268.75,266.75,2,0,0.65,268.1,0
Región de Arica y Parinacota,Arica,Palto,13,37.645,37.645,0,0,3.57,34.075,0
Región de Arica y Parinacota,Arica,Papayo,18,5.27,5.27,0,0,2.5,2.77,0
