total_nacional_region____,total_superficie_censada_ha____,con_actividad_silvoagropecuaria__unidades_productivas_agropecuarias__numero6,con_actividad_silvoagropecuaria__unidades_productivas_agropecuarias__superficie_ha,con_actividad_silvoagropecuaria__unidades_de_autoconsumo__numero,con_actividad_silvoagropecuaria__unidades_de_autoconsumo__superficie_ha,con_actividad_silvoagropecuaria__total_con_actividad__numero,con_actividad_silvoagropecuaria__total_con_actividad__superficie_ha,sin_actividad_silvoagropecuaria__temporal4__superficie_ha,sin_actividad_silvoagropecuaria__permanente5__superficie_ha,sin_actividad_silvoagropecuaria__total_sin_actividad__superficie_ha
Región del Libertador General Bernardo O'Higgins,1224791.117538713,9130,1137600.488600293,3073,2327.4708,12203,1139927.959400293,56339.581,28523.57713842,84863.15813842
Región del Maule,1431617.742560882,17400,1331819.793353982,4320,3498.4515,21720,1335318.244853982,69825.868,26473.6297069,96299.4977069
Región de Ñuble,876982.2088350876,12171,807993.0097955875,4032,3467.6467,16203,811460.6564955876,54238.907,11282.6453395,65521.5523395
Región del Biobío,1446509.13879825,12448,1358582.10401384,5065,4176.432,17513,1362758.53601384,68350.014,15400.58878441,83750.60278441
Región de La Araucanía,2029887.11092568,36552,1910167.97394177,8026,8098.4326,44578,1918266.40654177,89180.046,22440.65838391,111620.70438391
Región de Los Ríos,1269393.485718659,8749,1224008.426857959,1416,1429.7126,10165,1225438.139457959,29825.855,14129.4912607,43955.3462607
Región de Los Lagos,2773257.185775077,18343,2629360.929498167,2941,2774.8058,21284,2632135.735298167,105497.4361,35624.01437691,141121.45047691
Región de Aysén del General Carlos Ibáñez del Campo,7517177.5617641,1968,7436342.9595,170,139.3878,2138,7436482.3473,65564.588,15130.6264641,80695.2144641
Región de Magallanes y de la Antártica Chilena,11538038.89297017,583,11503532.6638,194,113.1532,777,11503645.817,9561.363,24831.7129701652,34393.0759701652
