Total Nacional -Región_0,comuna_78_1,especie_9_2,total
número_de_upa1011_3,total
superficie_cultivo_(ha)_4
Región de Arica y Parinacota,total_región,leña_dura,00,00
Región de Arica y Parinacota,total_región,lingue,00,00
Región de Arica y Parinacota,total_región,lingue_del_norte,00,00
Región de Arica y Parinacota,total_región,litre,00,00
Región de Arica y Parinacota,total_región,lleuque,00,00
Región de Arica y Parinacota,total_región,luma,00,00
Región de Arica y Parinacota,total_región,luma_de_más_afuera,00,00
Región de Arica y Parinacota,total_región,maitén,00,00
Región de Arica y Parinacota,total_región,mañío_de_hojas_cortas,00,00
Región de Arica y Parinacota,total_región,mañío_de_hojas_largas,00,00
Región de Arica y Parinacota,total_región,mañío_de_hojas_punzantes,00,00
Región de Arica y Parinacota,total_región,mardoño,00,00
Región de Arica y Parinacota,total_región,melí,00,00
Región de Arica y Parinacota,total_región,molle,00,00
Región de Arica y Parinacota,total_región,naranjillo,00,00
Región de Arica y Parinacota,total_región,notro,00,00
Región de Arica y Parinacota,total_región,ñirre,00,00
Región de Arica y Parinacota,total_región,olivillo,00,00
Región de Arica y Parinacota,total_región,palma_chilena,00,00
Región de Arica y Parinacota,total_región,patagua,00,00
Región de Arica y Parinacota,total_región,pelu,00,00
Región de Arica y Parinacota,total_región,peumo,00,00
Región de Arica y Parinacota,total_región,picha-picha,00,00
Región de Arica y Parinacota,total_región,pimiento,00,00
Región de Arica y Parinacota,total_región,pitra,00,00
Región de Arica y Parinacota,total_región,polizón,00,00
Región de Arica y Parinacota,total_región,queñoa,20,21
Región de Arica y Parinacota,total_región,queñoa_de_altura,10,1594717
Región de Arica y Parinacota,total_región,queule,00,00
Región de Arica y Parinacota,total_región,quillay,00,00
Región de Arica y Parinacota,total_región,radal,00,00
Región de Arica y Parinacota,total_región,rarán,00,00
Región de Arica y Parinacota,total_región,raulí,00,00
Región de Arica y Parinacota,total_región,roble,00,00
Región de Arica y Parinacota,total_región,roble_blanco,00,00
Región de Arica y Parinacota,total_región,ruil,00,00
Región de Arica y Parinacota,total_región,sándalo,00,00
Región de Arica y Parinacota,total_región,sauce_amargo,00,00
Región de Arica y Parinacota,total_región,sauco,00,00
Región de Arica y Parinacota,total_región,tamarugo,00,00
Región de Arica y Parinacota,total_región,tara,00,00
Región de Arica y Parinacota,total_región,tayu,00,00
Región de Arica y Parinacota,total_región,tepa,00,00
