Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Región de La Araucanía,total_región,365520,191016797394177,11260,584176,111450,327507155396393,88110,618103025151015,72100,98602097526095,49970,1521830464424891,16350,1114973000993661,7890,1084219495468751,4910,1489060776758309,1870,1328262856527482,1030,1424546008158788,580,9201314221277459
Región de La Araucanía,temuco,20140,310476680859516,1270,660753,7930,22737053999998,5110,3625515,3800,51674478,1430,38730805,280,191389,180,2629191087704,110,286628,10,7601999999999999,10,162469,10,62475929982478
Región de La Araucanía,carahue,21540,910895658717696,320,18149,4610,14038114999976,5160,36595603,4860,68604929999994,4490,139971619999991,1400,92499648,440,603351,130,408379,80,5614700000032,30,41465330014348,20,360218922703067
Región de La Araucanía,cunco,13740,780726181196778,120,72293,2930,902973,2950,20793278,3020,41728710000006,2560,8157873,950,6393894999992,480,6724710000012,390,124868030000189,250,174372474999439,80,1046668,10,92430085197104
Región de La Araucanía,curarrehue,6870,286477778,80,43188,1660,522944,1410,97301,1430,1995025,1250,379905,410,2790725,350,4644485,190,520022,60,44691,20,20760,10,21729
Región de La Araucanía,freire,19460,513520276021173,950,470869999996,7310,21430662999978,5270,36014097999998,3170,4184018000033,1480,42601065000083,420,28145299999986,350,48712299999779,290,86494638165279,150,107170899355106,70,100640262500638,00,00
Región de La Araucanía,galvarino,14920,414120373407597,440,20336,3540,1117036,3560,2530825,3960,54612412408231,2520,70379785,440,27875920967742,210,30106469827573,100,2924192534495,70,46758656451613,70,94438233407488,10,24025
Región de La Araucanía,gorbea,8220,457172113711235,130,703,1400,3905500000001,1620,11379485869572,1600,2123890560747,1780,5712862499998,770,53031790032078,520,67938793478341,310,90649119392422,70,46304499999688,10,11193900000325,10,94331194331358
Región de La Araucanía,lautaro,19160,621044958634803,610,305633,7190,21135191000005,5170,36411383999994,3360,43922664999958,1580,46106395500401,590,40823395355923,270,37212399999905,210,64360637500155,70,4638319999993,50,624452,60,221938857278532
Región de La Araucanía,loncoche,13380,633110075006783,160,937,2620,7996512016386,3120,2177842,3140,44539779999999,2850,88693022000086,930,64743791983575,280,39525799999994,230,70840550000179,10,7020,20,278019,20,260076599006564
Región de La Araucanía,melipeuco,3630,384916875000454,70,4560000000000001,890,2600967,840,61561,530,7240208,490,150704,390,27613,240,30225,50,14966,30,19470000000075,50,6865620000037899,50,1928734
Región de La Araucanía,nueva_imperial,22980,400134697472243,560,2875,8340,25895890000012,6770,47230929000017,4690,6321821,1910,55419845,410,275903,130,169939,110,322362,20,13782823349275,20,246188,20,92860300122939
Región de La Araucanía,padre_las_casas,27680,164990916921727,2290,118089,15990,44763079999997,6690,45325073,2030,25884632499956,500,13522337500012,60,36792,70,10220600138141,30,9149603783714001,20,11265499999907,00,00,00,00
Región de La Araucanía,perquenco,6880,248882919999752,410,20581,3030,828558,1550,10744150000007,780,1060808,430,124684,180,12473200000102,150,21270305000043,220,61429295000039,90,60990699999959,40,50407399999602,00,00
Región de La Araucanía,pitrufquén,16190,425400904459613,590,324775999998,4860,13907365999915,3850,27156991000002,3500,47375591998441,2150,65178850000057,800,54348479999933,270,36261700000072,100,30563500000476,50,35629299998615,10,15134049462104,10,9952029999999999
Región de La Araucanía,pucón,4370,132098421988,70,4006,930,283059988,810,578207,810,11211225,780,251087,370,25565,330,44169175,150,4251615,60,3921998,50,80429,10,104411226
Región de La Araucanía,saavedra,17230,219740932667478,250,134400000001,5510,16609670000016,5400,38541477774091,3910,53515029999994,1600,46199800000048,440,2968348,60,7961775,30,66808,30,20414499893328,00,00,00,00
