Total Nacional - Región _0,sexo_persona_productora_34_1,total_personas_productoras_2,número_personas_productoras_3,superficie_(ha)_de_la_upa_4,número_personas_productoras_5,superficie_(ha)_de_la_upa_6,número_personas_productoras_7,superficie_(ha)_de_la_upa_8,número_personas_productoras_9,superficie_(ha)_de_la_upa_10,número_personas_productoras_11,superficie_(ha)_de_la_upa_12,número_personas_productoras_13,superficie_(ha)_de_la_upa_14,número_personas_productoras_15,superficie_(ha)_de_la_upa_16,número_personas_productoras_17,superficie_(ha)_de_la_upa_18
Región de La Araucanía,productoras_mujeres,79780,79640,7149286526529354,00,00,00,00,00,00,00,00,00,00,00,00,140,21968
Región de La Araucanía,sin_especificar,100,100,13616,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Los Ríos ,total_región,34050,34020,627072859,00,00,00,00,00,00,00,00,00,00,00,00,30,5097
Región de Los Ríos ,productores_hombres,18160,18140,437642752,00,00,00,00,00,00,00,00,00,00,00,00,20,390
Región de Los Ríos ,productoras_mujeres,15860,15850,189358107,00,00,00,00,00,00,00,00,00,00,00,00,10,1197
Región de Los Ríos ,sin_especificar,30,30,72,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Los Lagos,total_región,43220,42790,8019050964999999,20,2258,00,00,00,00,00,00,00,00,00,00,410,8771099999999999
Región de Los Lagos,productores_hombres,22280,22000,4896718395,10,1833,00,00,00,00,00,00,00,00,00,00,270,76668
Región de Los Lagos,productoras_mujeres,20930,20780,312143257,10,425,00,00,00,00,00,00,00,00,00,00,140,11043
Región de Los Lagos,sin_especificar,10,10,90,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Aysén del General Carlos Ibáñez del Campo,total_región,2890,2790,491357866,00,00,00,00,00,00,00,00,00,00,00,00,100,186156
Región de Aysén del General Carlos Ibáñez del Campo,productores_hombres,1900,1840,382828595,00,00,00,00,00,00,00,00,00,00,00,00,60,139786
Región de Aysén del General Carlos Ibáñez del Campo,productoras_mujeres,990,950,108529271,00,00,00,00,00,00,00,00,00,00,00,00,40,4637
Región de Aysén del General Carlos Ibáñez del Campo,sin_especificar,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Magallanes y de la Antártica Chilena,total_región,750,680,58372708,00,00,00,00,00,00,00,00,00,00,00,00,70,1211154
Región de Magallanes y de la Antártica Chilena,productores_hombres,340,280,41910744,00,00,00,00,00,00,00,00,00,00,00,00,60,1211104
Región de Magallanes y de la Antártica Chilena,productoras_mujeres,410,400,16461964,00,00,00,00,00,00,00,00,00,00,00,00,10,05
Región de Magallanes y de la Antártica Chilena,sin_especificar,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
