total_nacional_region,existencias_numero_de_animales3__bovinos,existencias_numero_de_animales3__ovinos,existencias_numero_de_animales3__caprinos,existencias_numero_de_animales3__porcinos,existencias_numero_de_animales3__caballares,existencias_numero_de_animales3__mulares_y_burdeganos,existencias_numero_de_animales3__asnales,existencias_numero_de_animales3__llamas,existencias_numero_de_animales3__alpacas,existencias_numero_de_animales3__huarizos,existencias_numero_de_animales3__conejos,existencias_numero_de_animales3__jabalies,existencias_numero_de_animales3__ciervos,existencias_numero_de_animales3__gallinas/pollos_4,existencias_numero_de_animales3__pavos,existencias_numero_de_animales3__otras_aves_de_corral_5
Región del Libertador General Bernardo O'Higgins,47619,105387,15887,821050,16784,129,120,126,302,3,1376,34,82,17906056,3425,11817
Región del Maule,141909,104940,22011,134561,34142,107,254,89,343,0,1328,75,270,2011163,15352,15359
Región de Ñuble,111048,60157,14028,183306,18470,64,44,62,40,0,1068,453,105,2094690,14441,15028
Región del Biobío,164350,46920,13732,35441,12712,16,19,48,22,0,780,51,224,1905741,16724,22977
Región de La Araucanía,368785,220898,29645,77416,16894,54,50,127,196,0,1168,292,598,829873,41583,78647
Región de Los Ríos,485638,85294,6538,20935,8440,18,21,25,127,0,545,370,48,220103,5270,31433
Región de Los Lagos,774321,227798,9082,42429,9749,43,285,110,171,0,522,191,310,390138,12893,52368
Región de Aysén del General Carlos Ibáñez del Campo,130832,177934,8175,1361,6440,45,15,9,185,1,78,22,100,45425,3051,5689
Región de Magallanes y de la Antártica Chilena,126389,1417421,18,432,6621,0,0,120,231,0,3,0,132,9694,48,494
