total_nacional_region,comuna_78,especie_9,total_numero_de_upa1011,total_superficie_cultivo_ha
Total Nacional,Total Nacional,Total,39932,9616153.049997235
Total Nacional,Total Nacional,Sin clasificar,280,80958.16800568168
Total Nacional,Total Nacional,Alerce,81,147789.9
Total Nacional,Total Nacional,Algarrobo,62,3838.567
Total Nacional,Total Nacional,Algarrobo del Norte,9,10.562
Total Nacional,Total Nacional,Araucaria,121,108443.821
Total Nacional,Total Nacional,Arrayán,3299,22094.263
Total Nacional,Total Nacional,Avellanillo,17,156.4
Total Nacional,Total Nacional,Avellano,624,4190.715
Total Nacional,Total Nacional,Belloto del Norte,7,6045.69
Total Nacional,Total Nacional,Belloto del Sur,2,445
Total Nacional,Total Nacional,Boldo,1362,64615.332
Total Nacional,Total Nacional,Canelo,4147,120478.471
Total Nacional,Total Nacional,Carbonillo o Carbón,6,762.1
Total Nacional,Total Nacional,Chañar,29,757.786
Total Nacional,Total Nacional,Ciprés de La Cordillera,65,15388.425
Total Nacional,Total Nacional,Ciprés de Las Guaitecas,19,541837.79
Total Nacional,Total Nacional,Coigüe,4941,1908172.904999465
Total Nacional,Total Nacional,Coigüe de Chiloé,351,842705.562
Total Nacional,Total Nacional,Coigüe de Magallanes,29,2687491.39
Total Nacional,Total Nacional,Culén,12,38.7
Total Nacional,Total Nacional,Espino,1301,251514.77
Total Nacional,Total Nacional,Fuinque,2,11
Total Nacional,Total Nacional,Huala,1,9.5
Total Nacional,Total Nacional,Hualo,206,17872.281
Total Nacional,Total Nacional,Huayún,77,751.65
Total Nacional,Total Nacional,Huella,541,5474.245
Total Nacional,Total Nacional,Huingán,9,12
Total Nacional,Total Nacional,Laurel,318,4988.223
Total Nacional,Total Nacional,Lenga,774,1218554.907
Total Nacional,Total Nacional,Leña Dura,49,1026.38
Total Nacional,Total Nacional,Lingue,173,6094.492
Total Nacional,Total Nacional,Lingue del Norte,1,29.05
Total Nacional,Total Nacional,Litre,770,43018.62
Total Nacional,Total Nacional,Lleuque,23,270.59
Total Nacional,Total Nacional,Luma,592,9566.452
Total Nacional,Total Nacional,Luma de Más Afuera,1,0.5
Total Nacional,Total Nacional,Maitén,243,3954.952
Total Nacional,Total Nacional,Mañío de Hojas Cortas,41,1168.53
Total Nacional,Total Nacional,Mañío de Hojas Largas,54,615.0649999999999
Total Nacional,Total Nacional,Mañío de Hojas Punzantes,5,354.81
Total Nacional,Total Nacional,Mardoño,10,58.68
Total Nacional,Total Nacional,Melí,63,867.815
Total Nacional,Total Nacional,Molle,79,9663.25
Total Nacional,Total Nacional,Naranjillo,1,117
Total Nacional,Total Nacional,Notro,96,3591.307
Total Nacional,Total Nacional,Ñirre,622,208502.307
Total Nacional,Total Nacional,Olivillo,160,9013.228
Total Nacional,Total Nacional,Palma Chilena,8,6604.5
Total Nacional,Total Nacional,Patagua,309,2013.534
Total Nacional,Total Nacional,Pelu,3,194
Total Nacional,Total Nacional,Peumo,514,71849.115
Total Nacional,Total Nacional,Picha-Picha,11,72.75
Total Nacional,Total Nacional,Pimiento,21,2055.82
Total Nacional,Total Nacional,Pitra,799,4474.378
Total Nacional,Total Nacional,Polizón,1,0.5
Total Nacional,Total Nacional,Queñoa,3,20.1
Total Nacional,Total Nacional,Queñoa de Altura,1,25896.93
Total Nacional,Total Nacional,Queule,3,189
Total Nacional,Total Nacional,Quillay,1015,217523.8919932745
Total Nacional,Total Nacional,Radal,543,15248.991
Total Nacional,Total Nacional,Rarán,2,36
Total Nacional,Total Nacional,Raulí,549,163689.1970004124
Total Nacional,Total Nacional,Roble,13477,624696.7479984007
Total Nacional,Total Nacional,Roble Blanco,799,27803.938
Total Nacional,Total Nacional,Ruil,16,7628.706
Total Nacional,Total Nacional,Sándalo,1,3
Total Nacional,Total Nacional,Sauce Amargo,77,356.167
Total Nacional,Total Nacional,Sauco,4,2.4
Total Nacional,Total Nacional,Tamarugo,20,3906.249
Total Nacional,Total Nacional,Tara,1,35
Total Nacional,Total Nacional,Tayu,1,12
Total Nacional,Total Nacional,Tepa,551,42912.94
Total Nacional,Total Nacional,Tiaca,14,407.72
Total Nacional,Total Nacional,Tineo,24,8809.03
Total Nacional,Total Nacional,Trevo,148,9809.817000000001
Total Nacional,Total Nacional,Ulmo,1173,26577.477
Región de Arica y Parinacota,Total Región,Total,4,15961.07
Región de Arica y Parinacota,Total Región,Sin clasificar,1,10
Región de Arica y Parinacota,Total Región,Alerce,0,0
Región de Arica y Parinacota,Total Región,Algarrobo,0,0
Región de Arica y Parinacota,Total Región,Algarrobo del Norte,0,0
Región de Arica y Parinacota,Total Región,Araucaria,0,0
Región de Arica y Parinacota,Total Región,Arrayán,0,0
Región de Arica y Parinacota,Total Región,Avellanillo,0,0
Región de Arica y Parinacota,Total Región,Avellano,0,0
Región de Arica y Parinacota,Total Región,Belloto del Norte,0,0
Región de Arica y Parinacota,Total Región,Belloto del Sur,0,0
Región de Arica y Parinacota,Total Región,Boldo,0,0
Región de Arica y Parinacota,Total Región,Canelo,0,0
Región de Arica y Parinacota,Total Región,Carbonillo o Carbón,0,0
Región de Arica y Parinacota,Total Región,Chañar,1,1.8
Región de Arica y Parinacota,Total Región,Ciprés de La Cordillera,0,0
Región de Arica y Parinacota,Total Región,Ciprés de Las Guaitecas,0,0
Región de Arica y Parinacota,Total Región,Coigüe,0,0
Región de Arica y Parinacota,Total Región,Coigüe de Chiloé,0,0
Región de Arica y Parinacota,Total Región,Coigüe de Magallanes,0,0
Región de Arica y Parinacota,Total Región,Culén,0,0
Región de Arica y Parinacota,Total Región,Espino,0,0
Región de Arica y Parinacota,Total Región,Fuinque,0,0
Región de Arica y Parinacota,Total Región,Huala,0,0
Región de Arica y Parinacota,Total Región,Hualo,0,0
Región de Arica y Parinacota,Total Región,Huayún,0,0
Región de Arica y Parinacota,Total Región,Huella,0,0
Región de Arica y Parinacota,Total Región,Huingán,0,0
Región de Arica y Parinacota,Total Región,Laurel,0,0
Región de Arica y Parinacota,Total Región,Lenga,0,0
Región de Arica y Parinacota,Total Región,Leña Dura,0,0
Región de Arica y Parinacota,Total Región,Lingue,0,0
Región de Arica y Parinacota,Total Región,Lingue del Norte,0,0
Región de Arica y Parinacota,Total Región,Litre,0,0
Región de Arica y Parinacota,Total Región,Lleuque,0,0
Región de Arica y Parinacota,Total Región,Luma,0,0
Región de Arica y Parinacota,Total Región,Luma de Más Afuera,0,0
Región de Arica y Parinacota,Total Región,Maitén,0,0
Región de Arica y Parinacota,Total Región,Mañío de Hojas Cortas,0,0
Región de Arica y Parinacota,Total Región,Mañío de Hojas Largas,0,0
Región de Arica y Parinacota,Total Región,Mañío de Hojas Punzantes,0,0
Región de Arica y Parinacota,Total Región,Mardoño,0,0
Región de Arica y Parinacota,Total Región,Melí,0,0
Región de Arica y Parinacota,Total Región,Molle,0,0
Región de Arica y Parinacota,Total Región,Naranjillo,0,0
Región de Arica y Parinacota,Total Región,Notro,0,0
Región de Arica y Parinacota,Total Región,Ñirre,0,0
Región de Arica y Parinacota,Total Región,Olivillo,0,0
Región de Arica y Parinacota,Total Región,Palma Chilena,0,0
Región de Arica y Parinacota,Total Región,Patagua,0,0
Región de Arica y Parinacota,Total Región,Pelu,0,0
Región de Arica y Parinacota,Total Región,Peumo,0,0
Región de Arica y Parinacota,Total Región,Picha-Picha,0,0
Región de Arica y Parinacota,Total Región,Pimiento,0,0
Región de Arica y Parinacota,Total Región,Pitra,0,0
Región de Arica y Parinacota,Total Región,Polizón,0,0
Región de Arica y Parinacota,Total Región,Queñoa,2,2.1
Región de Arica y Parinacota,Total Región,Queñoa de Altura,1,15947.17
Región de Arica y Parinacota,Total Región,Queule,0,0
Región de Arica y Parinacota,Total Región,Quillay,0,0
Región de Arica y Parinacota,Total Región,Radal,0,0
Región de Arica y Parinacota,Total Región,Rarán,0,0
Región de Arica y Parinacota,Total Región,Raulí,0,0
Región de Arica y Parinacota,Total Región,Roble,0,0
Región de Arica y Parinacota,Total Región,Roble Blanco,0,0
Región de Arica y Parinacota,Total Región,Ruil,0,0
Región de Arica y Parinacota,Total Región,Sándalo,0,0
Región de Arica y Parinacota,Total Región,Sauce Amargo,0,0
Región de Arica y Parinacota,Total Región,Sauco,0,0
Región de Arica y Parinacota,Total Región,Tamarugo,0,0
Región de Arica y Parinacota,Total Región,Tara,0,0
Región de Arica y Parinacota,Total Región,Tayu,0,0
Región de Arica y Parinacota,Total Región,Tepa,0,0
Región de Arica y Parinacota,Total Región,Tiaca,0,0
Región de Arica y Parinacota,Total Región,Tineo,0,0
Región de Arica y Parinacota,Total Región,Trevo,0,0
Región de Arica y Parinacota,Total Región,Ulmo,0,0
Región de Arica y Parinacota,Arica,Total,0,0
Región de Arica y Parinacota,Arica,Sin clasificar,0,0
Región de Arica y Parinacota,Arica,Alerce,0,0
Región de Arica y Parinacota,Arica,Algarrobo,0,0
Región de Arica y Parinacota,Arica,Algarrobo del Norte,0,0
Región de Arica y Parinacota,Arica,Araucaria,0,0
Región de Arica y Parinacota,Arica,Arrayán,0,0
Región de Arica y Parinacota,Arica,Avellanillo,0,0
Región de Arica y Parinacota,Arica,Avellano,0,0
Región de Arica y Parinacota,Arica,Belloto del Norte,0,0
Región de Arica y Parinacota,Arica,Belloto del Sur,0,0
Región de Arica y Parinacota,Arica,Boldo,0,0
Región de Arica y Parinacota,Arica,Canelo,0,0
Región de Arica y Parinacota,Arica,Carbonillo o Carbón,0,0
Región de Arica y Parinacota,Arica,Chañar,0,0
Región de Arica y Parinacota,Arica,Ciprés de La Cordillera,0,0
Región de Arica y Parinacota,Arica,Ciprés de Las Guaitecas,0,0
Región de Arica y Parinacota,Arica,Coigüe,0,0
Región de Arica y Parinacota,Arica,Coigüe de Chiloé,0,0
Región de Arica y Parinacota,Arica,Coigüe de Magallanes,0,0
Región de Arica y Parinacota,Arica,Culén,0,0
Región de Arica y Parinacota,Arica,Espino,0,0
Región de Arica y Parinacota,Arica,Fuinque,0,0
Región de Arica y Parinacota,Arica,Huala,0,0
Región de Arica y Parinacota,Arica,Hualo,0,0
Región de Arica y Parinacota,Arica,Huayún,0,0
Región de Arica y Parinacota,Arica,Huella,0,0
Región de Arica y Parinacota,Arica,Huingán,0,0
Región de Arica y Parinacota,Arica,Laurel,0,0
Región de Arica y Parinacota,Arica,Lenga,0,0
Región de Arica y Parinacota,Arica,Leña Dura,0,0
Región de Arica y Parinacota,Arica,Lingue,0,0
Región de Arica y Parinacota,Arica,Lingue del Norte,0,0
Región de Arica y Parinacota,Arica,Litre,0,0
Región de Arica y Parinacota,Arica,Lleuque,0,0
Región de Arica y Parinacota,Arica,Luma,0,0
Región de Arica y Parinacota,Arica,Luma de Más Afuera,0,0
Región de Arica y Parinacota,Arica,Maitén,0,0
Región de Arica y Parinacota,Arica,Mañío de Hojas Cortas,0,0
Región de Arica y Parinacota,Arica,Mañío de Hojas Largas,0,0
Región de Arica y Parinacota,Arica,Mañío de Hojas Punzantes,0,0
Región de Arica y Parinacota,Arica,Mardoño,0,0
Región de Arica y Parinacota,Arica,Melí,0,0
Región de Arica y Parinacota,Arica,Molle,0,0
Región de Arica y Parinacota,Arica,Naranjillo,0,0
Región de Arica y Parinacota,Arica,Notro,0,0
Región de Arica y Parinacota,Arica,Ñirre,0,0
Región de Arica y Parinacota,Arica,Olivillo,0,0
Región de Arica y Parinacota,Arica,Palma Chilena,0,0
Región de Arica y Parinacota,Arica,Patagua,0,0
Región de Arica y Parinacota,Arica,Pelu,0,0
Región de Arica y Parinacota,Arica,Peumo,0,0
Región de Arica y Parinacota,Arica,Picha-Picha,0,0
Región de Arica y Parinacota,Arica,Pimiento,0,0
Región de Arica y Parinacota,Arica,Pitra,0,0
Región de Arica y Parinacota,Arica,Polizón,0,0
Región de Arica y Parinacota,Arica,Queñoa,0,0
Región de Arica y Parinacota,Arica,Queñoa de Altura,0,0
Región de Arica y Parinacota,Arica,Queule,0,0
Región de Arica y Parinacota,Arica,Quillay,0,0
Región de Arica y Parinacota,Arica,Radal,0,0
Región de Arica y Parinacota,Arica,Rarán,0,0
Región de Arica y Parinacota,Arica,Raulí,0,0
Región de Arica y Parinacota,Arica,Roble,0,0
Región de Arica y Parinacota,Arica,Roble Blanco,0,0
Región de Arica y Parinacota,Arica,Ruil,0,0
Región de Arica y Parinacota,Arica,Sándalo,0,0
Región de Arica y Parinacota,Arica,Sauce Amargo,0,0
Región de Arica y Parinacota,Arica,Sauco,0,0
Región de Arica y Parinacota,Arica,Tamarugo,0,0
Región de Arica y Parinacota,Arica,Tara,0,0
Región de Arica y Parinacota,Arica,Tayu,0,0
Región de Arica y Parinacota,Arica,Tepa,0,0
Región de Arica y Parinacota,Arica,Tiaca,0,0
Región de Arica y Parinacota,Arica,Tineo,0,0
Región de Arica y Parinacota,Arica,Trevo,0,0
Región de Arica y Parinacota,Arica,Ulmo,0,0
Región de Arica y Parinacota,Camarones,Total,0,0
Región de Arica y Parinacota,Camarones,Sin clasificar,0,0
Región de Arica y Parinacota,Camarones,Alerce,0,0
Región de Arica y Parinacota,Camarones,Algarrobo,0,0
Región de Arica y Parinacota,Camarones,Algarrobo del Norte,0,0
Región de Arica y Parinacota,Camarones,Araucaria,0,0
Región de Arica y Parinacota,Camarones,Arrayán,0,0
Región de Arica y Parinacota,Camarones,Avellanillo,0,0
Región de Arica y Parinacota,Camarones,Avellano,0,0
Región de Arica y Parinacota,Camarones,Belloto del Norte,0,0
Región de Arica y Parinacota,Camarones,Belloto del Sur,0,0
Región de Arica y Parinacota,Camarones,Boldo,0,0
Región de Arica y Parinacota,Camarones,Canelo,0,0
Región de Arica y Parinacota,Camarones,Carbonillo o Carbón,0,0
Región de Arica y Parinacota,Camarones,Chañar,0,0
Región de Arica y Parinacota,Camarones,Ciprés de La Cordillera,0,0
Región de Arica y Parinacota,Camarones,Ciprés de Las Guaitecas,0,0
Región de Arica y Parinacota,Camarones,Coigüe,0,0
Región de Arica y Parinacota,Camarones,Coigüe de Chiloé,0,0
Región de Arica y Parinacota,Camarones,Coigüe de Magallanes,0,0
Región de Arica y Parinacota,Camarones,Culén,0,0
Región de Arica y Parinacota,Camarones,Espino,0,0
Región de Arica y Parinacota,Camarones,Fuinque,0,0
Región de Arica y Parinacota,Camarones,Huala,0,0
Región de Arica y Parinacota,Camarones,Hualo,0,0
Región de Arica y Parinacota,Camarones,Huayún,0,0
Región de Arica y Parinacota,Camarones,Huella,0,0
Región de Arica y Parinacota,Camarones,Huingán,0,0
Región de Arica y Parinacota,Camarones,Laurel,0,0
Región de Arica y Parinacota,Camarones,Lenga,0,0
Región de Arica y Parinacota,Camarones,Leña Dura,0,0
Región de Arica y Parinacota,Camarones,Lingue,0,0
Región de Arica y Parinacota,Camarones,Lingue del Norte,0,0
Región de Arica y Parinacota,Camarones,Litre,0,0
Región de Arica y Parinacota,Camarones,Lleuque,0,0
Región de Arica y Parinacota,Camarones,Luma,0,0
Región de Arica y Parinacota,Camarones,Luma de Más Afuera,0,0
Región de Arica y Parinacota,Camarones,Maitén,0,0
Región de Arica y Parinacota,Camarones,Mañío de Hojas Cortas,0,0
Región de Arica y Parinacota,Camarones,Mañío de Hojas Largas,0,0
Región de Arica y Parinacota,Camarones,Mañío de Hojas Punzantes,0,0
Región de Arica y Parinacota,Camarones,Mardoño,0,0
Región de Arica y Parinacota,Camarones,Melí,0,0
Región de Arica y Parinacota,Camarones,Molle,0,0
Región de Arica y Parinacota,Camarones,Naranjillo,0,0
Región de Arica y Parinacota,Camarones,Notro,0,0
Región de Arica y Parinacota,Camarones,Ñirre,0,0
Región de Arica y Parinacota,Camarones,Olivillo,0,0
Región de Arica y Parinacota,Camarones,Palma Chilena,0,0
Región de Arica y Parinacota,Camarones,Patagua,0,0
Región de Arica y Parinacota,Camarones,Pelu,0,0
Región de Arica y Parinacota,Camarones,Peumo,0,0
Región de Arica y Parinacota,Camarones,Picha-Picha,0,0
Región de Arica y Parinacota,Camarones,Pimiento,0,0
Región de Arica y Parinacota,Camarones,Pitra,0,0
Región de Arica y Parinacota,Camarones,Polizón,0,0
Región de Arica y Parinacota,Camarones,Queñoa,0,0
Región de Arica y Parinacota,Camarones,Queñoa de Altura,0,0
Región de Arica y Parinacota,Camarones,Queule,0,0
Región de Arica y Parinacota,Camarones,Quillay,0,0
Región de Arica y Parinacota,Camarones,Radal,0,0
Región de Arica y Parinacota,Camarones,Rarán,0,0
Región de Arica y Parinacota,Camarones,Raulí,0,0
Región de Arica y Parinacota,Camarones,Roble,0,0
Región de Arica y Parinacota,Camarones,Roble Blanco,0,0
Región de Arica y Parinacota,Camarones,Ruil,0,0
Región de Arica y Parinacota,Camarones,Sándalo,0,0
Región de Arica y Parinacota,Camarones,Sauce Amargo,0,0
Región de Arica y Parinacota,Camarones,Sauco,0,0
Región de Arica y Parinacota,Camarones,Tamarugo,0,0
Región de Arica y Parinacota,Camarones,Tara,0,0
Región de Arica y Parinacota,Camarones,Tayu,0,0
Región de Arica y Parinacota,Camarones,Tepa,0,0
Región de Arica y Parinacota,Camarones,Tiaca,0,0
Región de Arica y Parinacota,Camarones,Tineo,0,0
Región de Arica y Parinacota,Camarones,Trevo,0,0
Región de Arica y Parinacota,Camarones,Ulmo,0,0
Región de Arica y Parinacota,Putre,Total,4,15956.5
Región de Arica y Parinacota,Putre,Sin clasificar,1,10
Región de Arica y Parinacota,Putre,Alerce,0,0
Región de Arica y Parinacota,Putre,Algarrobo,0,0
Región de Arica y Parinacota,Putre,Algarrobo del Norte,0,0
Región de Arica y Parinacota,Putre,Araucaria,0,0
Región de Arica y Parinacota,Putre,Arrayán,0,0
Región de Arica y Parinacota,Putre,Avellanillo,0,0
Región de Arica y Parinacota,Putre,Avellano,0,0
Región de Arica y Parinacota,Putre,Belloto del Norte,0,0
Región de Arica y Parinacota,Putre,Belloto del Sur,0,0
Región de Arica y Parinacota,Putre,Boldo,0,0
Región de Arica y Parinacota,Putre,Canelo,0,0
Región de Arica y Parinacota,Putre,Carbonillo o Carbón,0,0
Región de Arica y Parinacota,Putre,Chañar,1,1.8
Región de Arica y Parinacota,Putre,Ciprés de La Cordillera,0,0
Región de Arica y Parinacota,Putre,Ciprés de Las Guaitecas,0,0
Región de Arica y Parinacota,Putre,Coigüe,0,0
Región de Arica y Parinacota,Putre,Coigüe de Chiloé,0,0
Región de Arica y Parinacota,Putre,Coigüe de Magallanes,0,0
Región de Arica y Parinacota,Putre,Culén,0,0
Región de Arica y Parinacota,Putre,Espino,0,0
Región de Arica y Parinacota,Putre,Fuinque,0,0
Región de Arica y Parinacota,Putre,Huala,0,0
Región de Arica y Parinacota,Putre,Hualo,0,0
Región de Arica y Parinacota,Putre,Huayún,0,0
Región de Arica y Parinacota,Putre,Huella,0,0
Región de Arica y Parinacota,Putre,Huingán,0,0
Región de Arica y Parinacota,Putre,Laurel,0,0
Región de Arica y Parinacota,Putre,Lenga,0,0
Región de Arica y Parinacota,Putre,Leña Dura,0,0
Región de Arica y Parinacota,Putre,Lingue,0,0
Región de Arica y Parinacota,Putre,Lingue del Norte,0,0
Región de Arica y Parinacota,Putre,Litre,0,0
Región de Arica y Parinacota,Putre,Lleuque,0,0
Región de Arica y Parinacota,Putre,Luma,0,0
Región de Arica y Parinacota,Putre,Luma de Más Afuera,0,0
Región de Arica y Parinacota,Putre,Maitén,0,0
Región de Arica y Parinacota,Putre,Mañío de Hojas Cortas,0,0
Región de Arica y Parinacota,Putre,Mañío de Hojas Largas,0,0
Región de Arica y Parinacota,Putre,Mañío de Hojas Punzantes,0,0
Región de Arica y Parinacota,Putre,Mardoño,0,0
Región de Arica y Parinacota,Putre,Melí,0,0
Región de Arica y Parinacota,Putre,Molle,0,0
Región de Arica y Parinacota,Putre,Naranjillo,0,0
Región de Arica y Parinacota,Putre,Notro,0,0
Región de Arica y Parinacota,Putre,Ñirre,0,0
Región de Arica y Parinacota,Putre,Olivillo,0,0
Región de Arica y Parinacota,Putre,Palma Chilena,0,0
Región de Arica y Parinacota,Putre,Patagua,0,0
Región de Arica y Parinacota,Putre,Pelu,0,0
Región de Arica y Parinacota,Putre,Peumo,0,0
Región de Arica y Parinacota,Putre,Picha-Picha,0,0
Región de Arica y Parinacota,Putre,Pimiento,0,0
Región de Arica y Parinacota,Putre,Pitra,0,0
Región de Arica y Parinacota,Putre,Polizón,0,0
Región de Arica y Parinacota,Putre,Queñoa,2,2.1
Región de Arica y Parinacota,Putre,Queñoa de Altura,1,15942.6
Región de Arica y Parinacota,Putre,Queule,0,0
Región de Arica y Parinacota,Putre,Quillay,0,0
Región de Arica y Parinacota,Putre,Radal,0,0
Región de Arica y Parinacota,Putre,Rarán,0,0
Región de Arica y Parinacota,Putre,Raulí,0,0
Región de Arica y Parinacota,Putre,Roble,0,0
Región de Arica y Parinacota,Putre,Roble Blanco,0,0
Región de Arica y Parinacota,Putre,Ruil,0,0
Región de Arica y Parinacota,Putre,Sándalo,0,0
Región de Arica y Parinacota,Putre,Sauce Amargo,0,0
Región de Arica y Parinacota,Putre,Sauco,0,0
Región de Arica y Parinacota,Putre,Tamarugo,0,0
Región de Arica y Parinacota,Putre,Tara,0,0
Región de Arica y Parinacota,Putre,Tayu,0,0
Región de Arica y Parinacota,Putre,Tepa,0,0
Región de Arica y Parinacota,Putre,Tiaca,0,0
Región de Arica y Parinacota,Putre,Tineo,0,0
Región de Arica y Parinacota,Putre,Trevo,0,0
Región de Arica y Parinacota,Putre,Ulmo,0,0
Región de Arica y Parinacota,General Lagos,Total,1,4.57
Región de Arica y Parinacota,General Lagos,Sin clasificar,0,0
Región de Arica y Parinacota,General Lagos,Alerce,0,0
Región de Arica y Parinacota,General Lagos,Algarrobo,0,0
Región de Arica y Parinacota,General Lagos,Algarrobo del Norte,0,0
Región de Arica y Parinacota,General Lagos,Araucaria,0,0
Región de Arica y Parinacota,General Lagos,Arrayán,0,0
Región de Arica y Parinacota,General Lagos,Avellanillo,0,0
Región de Arica y Parinacota,General Lagos,Avellano,0,0
Región de Arica y Parinacota,General Lagos,Belloto del Norte,0,0
Región de Arica y Parinacota,General Lagos,Belloto del Sur,0,0
Región de Arica y Parinacota,General Lagos,Boldo,0,0
Región de Arica y Parinacota,General Lagos,Canelo,0,0
Región de Arica y Parinacota,General Lagos,Carbonillo o Carbón,0,0
Región de Arica y Parinacota,General Lagos,Chañar,0,0
Región de Arica y Parinacota,General Lagos,Ciprés de La Cordillera,0,0
Región de Arica y Parinacota,General Lagos,Ciprés de Las Guaitecas,0,0
Región de Arica y Parinacota,General Lagos,Coigüe,0,0
Región de Arica y Parinacota,General Lagos,Coigüe de Chiloé,0,0
Región de Arica y Parinacota,General Lagos,Coigüe de Magallanes,0,0
Región de Arica y Parinacota,General Lagos,Culén,0,0
Región de Arica y Parinacota,General Lagos,Espino,0,0
Región de Arica y Parinacota,General Lagos,Fuinque,0,0
Región de Arica y Parinacota,General Lagos,Huala,0,0
Región de Arica y Parinacota,General Lagos,Hualo,0,0
Región de Arica y Parinacota,General Lagos,Huayún,0,0
Región de Arica y Parinacota,General Lagos,Huella,0,0
Región de Arica y Parinacota,General Lagos,Huingán,0,0
Región de Arica y Parinacota,General Lagos,Laurel,0,0
Región de Arica y Parinacota,General Lagos,Lenga,0,0
Región de Arica y Parinacota,General Lagos,Leña Dura,0,0
Región de Arica y Parinacota,General Lagos,Lingue,0,0
Región de Arica y Parinacota,General Lagos,Lingue del Norte,0,0
Región de Arica y Parinacota,General Lagos,Litre,0,0
Región de Arica y Parinacota,General Lagos,Lleuque,0,0
Región de Arica y Parinacota,General Lagos,Luma,0,0
Región de Arica y Parinacota,General Lagos,Luma de Más Afuera,0,0
Región de Arica y Parinacota,General Lagos,Maitén,0,0
Región de Arica y Parinacota,General Lagos,Mañío de Hojas Cortas,0,0
Región de Arica y Parinacota,General Lagos,Mañío de Hojas Largas,0,0
Región de Arica y Parinacota,General Lagos,Mañío de Hojas Punzantes,0,0
Región de Arica y Parinacota,General Lagos,Mardoño,0,0
Región de Arica y Parinacota,General Lagos,Melí,0,0
Región de Arica y Parinacota,General Lagos,Molle,0,0
Región de Arica y Parinacota,General Lagos,Naranjillo,0,0
Región de Arica y Parinacota,General Lagos,Notro,0,0
Región de Arica y Parinacota,General Lagos,Ñirre,0,0
Región de Arica y Parinacota,General Lagos,Olivillo,0,0
Región de Arica y Parinacota,General Lagos,Palma Chilena,0,0
Región de Arica y Parinacota,General Lagos,Patagua,0,0
Región de Arica y Parinacota,General Lagos,Pelu,0,0
Región de Arica y Parinacota,General Lagos,Peumo,0,0
Región de Arica y Parinacota,General Lagos,Picha-Picha,0,0
Región de Arica y Parinacota,General Lagos,Pimiento,0,0
Región de Arica y Parinacota,General Lagos,Pitra,0,0
Región de Arica y Parinacota,General Lagos,Polizón,0,0
Región de Arica y Parinacota,General Lagos,Queñoa,0,0
Región de Arica y Parinacota,General Lagos,Queñoa de Altura,1,4.57
Región de Arica y Parinacota,General Lagos,Queule,0,0
Región de Arica y Parinacota,General Lagos,Quillay,0,0
Región de Arica y Parinacota,General Lagos,Radal,0,0
Región de Arica y Parinacota,General Lagos,Rarán,0,0
Región de Arica y Parinacota,General Lagos,Raulí,0,0
Región de Arica y Parinacota,General Lagos,Roble,0,0
Región de Arica y Parinacota,General Lagos,Roble Blanco,0,0
Región de Arica y Parinacota,General Lagos,Ruil,0,0
Región de Arica y Parinacota,General Lagos,Sándalo,0,0
Región de Arica y Parinacota,General Lagos,Sauce Amargo,0,0
Región de Arica y Parinacota,General Lagos,Sauco,0,0
Región de Arica y Parinacota,General Lagos,Tamarugo,0,0
Región de Arica y Parinacota,General Lagos,Tara,0,0
Región de Arica y Parinacota,General Lagos,Tayu,0,0
Región de Arica y Parinacota,General Lagos,Tepa,0,0
Región de Arica y Parinacota,General Lagos,Tiaca,0,0
Región de Arica y Parinacota,General Lagos,Tineo,0,0
Región de Arica y Parinacota,General Lagos,Trevo,0,0
Región de Arica y Parinacota,General Lagos,Ulmo,0,0
Región de Tarapacá,Total Región,Total,23,13875.081
Región de Tarapacá,Total Región,Sin clasificar,1,10.08
Región de Tarapacá,Total Región,Alerce,0,0
Región de Tarapacá,Total Región,Algarrobo,1,1
Región de Tarapacá,Total Región,Algarrobo del Norte,2,7.282
Región de Tarapacá,Total Región,Araucaria,0,0
Región de Tarapacá,Total Región,Arrayán,0,0
Región de Tarapacá,Total Región,Avellanillo,0,0
Región de Tarapacá,Total Región,Avellano,0,0
Región de Tarapacá,Total Región,Belloto del Norte,0,0
Región de Tarapacá,Total Región,Belloto del Sur,0,0
Región de Tarapacá,Total Región,Boldo,0,0
Región de Tarapacá,Total Región,Canelo,0,0
Región de Tarapacá,Total Región,Carbonillo o Carbón,0,0
Región de Tarapacá,Total Región,Chañar,1,1
Región de Tarapacá,Total Región,Ciprés de La Cordillera,0,0
Región de Tarapacá,Total Región,Ciprés de Las Guaitecas,0,0
Región de Tarapacá,Total Región,Coigüe,0,0
Región de Tarapacá,Total Región,Coigüe de Chiloé,0,0
Región de Tarapacá,Total Región,Coigüe de Magallanes,0,0
Región de Tarapacá,Total Región,Culén,0,0
Región de Tarapacá,Total Región,Espino,0,0
Región de Tarapacá,Total Región,Fuinque,0,0
Región de Tarapacá,Total Región,Huala,0,0
Región de Tarapacá,Total Región,Hualo,0,0
Región de Tarapacá,Total Región,Huayún,0,0
Región de Tarapacá,Total Región,Huella,0,0
Región de Tarapacá,Total Región,Huingán,0,0
Región de Tarapacá,Total Región,Laurel,0,0
Región de Tarapacá,Total Región,Lenga,0,0
Región de Tarapacá,Total Región,Leña Dura,0,0
Región de Tarapacá,Total Región,Lingue,0,0
Región de Tarapacá,Total Región,Lingue del Norte,0,0
Región de Tarapacá,Total Región,Litre,0,0
Región de Tarapacá,Total Región,Lleuque,0,0
