0,1,2,3,4,5,6,7,8
total_nacional,total_nacional,hortalizas,total,46101.0,64090.60958255061,59677.82382932421,4027.3648532264,385.4209
total_nacional,total_nacional,hortalizas,sin_clasificar,951.0,386.7309,1.276,0.034,385.4209
total_nacional,total_nacional,hortalizas,acelga,3217.0,982.5439320999999,898.2339,84.3100321,0.0
total_nacional,total_nacional,hortalizas,achicoria,51.0,81.324432,80.6212,0.703232,0.0
total_nacional,total_nacional,hortalizas,ají,2025.0,617.3546089998999,487.2456829999,130.108926,0.0
total_nacional,total_nacional,hortalizas,ajo,1809.0,2062.78277814,2050.59107814,12.1917,0.0
total_nacional,total_nacional,hortalizas,ajo_chilote,820.0,378.6932501,376.5252501,2.168,0.0
total_nacional,total_nacional,hortalizas,albahaca,317.0,93.296979,83.03254,10.264439,0.0
total_nacional,total_nacional,hortalizas,alcachofa,286.0,953.335958,953.0345,0.301458,0.0
total_nacional,total_nacional,hortalizas,alcaparra,3.0,1.5,1.5,0.0,0.0
total_nacional,total_nacional,hortalizas,alcayota,48.0,26.0766,26.0726,0.004,0.0
total_nacional,total_nacional,hortalizas,apio,549.0,919.1850999999999,906.2773,12.9078,0.0
total_nacional,total_nacional,hortalizas,arveja_verde,2372.0,1383.72888,1378.92228,4.8066,0.0
total_nacional,total_nacional,hortalizas,berenjena,189.0,137.768528,130.4806,7.287928,0.0
total_nacional,total_nacional,hortalizas,berro,34.0,6.67,1.8005,4.8695,0.0
total_nacional,total_nacional,hortalizas,betarraga,1322.0,1021.787643,1011.779103,10.00854,0.0
total_nacional,total_nacional,hortalizas,brócoli,959.0,2220.003067,2207.05735,12.945717,0.0
total_nacional,total_nacional,hortalizas,bunching_(consumo),60.0,47.113,46.13,0.983,0.0
total_nacional,total_nacional,hortalizas,caigua,9.0,2.751,2.251,0.5,0.0
total_nacional,total_nacional,hortalizas,camote,45.0,63.51600000000001,63.5155,0.0005,0.0
total_nacional,total_nacional,hortalizas,cebolla,3512.0,6191.087638476301,6180.9365879999,10.1510504764,0.0
total_nacional,total_nacional,hortalizas,cebollín_(incl._baby_y_otros),634.0,604.34463,593.051,11.29363,0.0
total_nacional,total_nacional,hortalizas,chalota,120.0,7.2058,6.1761,1.0297,0.0
total_nacional,total_nacional,hortalizas,choclo,2796.0,3641.6462,3609.9327,31.7135,0.0
total_nacional,total_nacional,hortalizas,choclo_dulce_(maíz_dulce),979.0,1591.9974,1574.9379,17.0595,0.0
total_nacional,total_nacional,hortalizas,ciboultte,305.0,61.166613,54.342517,6.824096,0.0
total_nacional,total_nacional,hortalizas,cilantro,3507.0,1149.859349102,1036.71274,113.146609102,0.0
total_nacional,total_nacional,hortalizas,coliflor,771.0,1316.943162,1310.638657,6.304505,0.0
total_nacional,total_nacional,hortalizas,endibia,3.0,11.0,11.0,0.0,0.0
total_nacional,total_nacional,hortalizas,espárrago,655.0,3861.3950999845,3861.3782999845,0.0168,0.0
total_nacional,total_nacional,hortalizas,espinaca,808.0,453.725295,421.5896,32.135695,0.0
total_nacional,total_nacional,hortalizas,haba,2266.0,1321.403775,1317.0566,4.347175,0.0
total_nacional,total_nacional,hortalizas,huerta_casera_(princ._autoconsum,23665.0,1898.9158701001,1691.4244701001,207.4914,0.0
total_nacional,total_nacional,hortalizas,kale_(o_col_crespa),86.0,25.95795,24.99995,0.9580000000000001,0.0
total_nacional,total_nacional,hortalizas,kohlrabi_(o_colirrábano),5.0,2.505,2.505,0.0,0.0
total_nacional,total_nacional,hortalizas,lechuga,6045.0,4774.292436373999,4403.07825,371.214186374,0.0
total_nacional,total_nacional,hortalizas,locoto_(o_rocoto),31.0,15.2665,14.775,0.4915,0.0
total_nacional,total_nacional,hortalizas,lufa,4.0,0.896,0.89,0.006,0.0
total_nacional,total_nacional,hortalizas,melón,890.0,1456.91027,1368.85745,88.05282,0.0
total_nacional,total_nacional,hortalizas,orégano,165.0,254.4488,253.2973,1.1515,0.0
total_nacional,total_nacional,hortalizas,pak_choi_(o_bok_choy),11.0,6.845,6.345,0.5,0.0
total_nacional,total_nacional,hortalizas,pepino_dulce,151.0,298.47005,295.515,2.95505,0.0
total_nacional,total_nacional,hortalizas,pepino_ensalada,1331.0,464.595006,195.03983,269.555176,0.0
total_nacional,total_nacional,hortalizas,perejil,1139.0,205.729820102,185.27103,20.458790102,0.0
total_nacional,total_nacional,hortalizas,pimiento_(incl._todos_los_tipos),1036.0,819.8239040000001,464.837257,354.986647,0.0
total_nacional,total_nacional,hortalizas,poroto_granado,1631.0,1809.9227659999,1806.3517499999,3.571016,0.0
total_nacional,total_nacional,hortalizas,poroto_verde,2459.0,1544.4018802625,1512.11023,32.2916502625,0.0
total_nacional,total_nacional,hortalizas,puerro,579.0,146.178130102,144.76778,1.410350102,0.0
total_nacional,total_nacional,hortalizas,rábano_(o_rabanito),247.0,78.481225,62.8829,15.598325,0.0
total_nacional,total_nacional,hortalizas,repollito_de_bruselas,18.0,53.974802,53.8291,0.145702,0.0
total_nacional,total_nacional,hortalizas,repollo,1607.0,1526.625543,1515.608478,11.017065,0.0
total_nacional,total_nacional,hortalizas,rúcula,75.0,48.1901,46.129,2.0611,0.0
total_nacional,total_nacional,hortalizas,ruibardo,15.0,1.2042,1.2042,0.0,0.0
total_nacional,total_nacional,hortalizas,sandía,976.0,1775.834121,1637.5797,138.254421,0.0
total_nacional,total_nacional,hortalizas,tomate,6500.0,5458.0938551,3761.052908,1697.0409471,0.0
total_nacional,total_nacional,hortalizas,tomate_cherry_(u_otros_mini),348.0,103.19705,66.5172,36.67985,0.0
total_nacional,total_nacional,hortalizas,zanahoria,1354.0,2710.4796159999,2700.0802999999,10.399316,0.0
