0,1,2,3,4
región_de_arica_y_parinacota,putre,tamarugo,0.0,0.0
región_de_arica_y_parinacota,putre,otras_especies_exóticas,0.0,0.0
región_de_arica_y_parinacota,putre,otras_coníferas,0.0,0.0
región_de_arica_y_parinacota,putre,otras_especies_nativas,1.0,0.05
región_de_arica_y_parinacota,putre,especie_nativa_y_especie_exótica,0.0,0.0
región_de_arica_y_parinacota,general_lagos,total,0.0,0.0
región_de_arica_y_parinacota,general_lagos,sin_clasificar,0.0,0.0
región_de_arica_y_parinacota,general_lagos,acacia,0.0,0.0
región_de_arica_y_parinacota,general_lagos,álamo,0.0,0.0
región_de_arica_y_parinacota,general_lagos,aromo,0.0,0.0
región_de_arica_y_parinacota,general_lagos,atriplex_sp,0.0,0.0
región_de_arica_y_parinacota,general_lagos,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_arica_y_parinacota,general_lagos,eucalyptus_nitens,0.0,0.0
región_de_arica_y_parinacota,general_lagos,pino_ponderosa_(pinus_ponderosa),0.0,0.0
región_de_arica_y_parinacota,general_lagos,pino_radiata_o_insigne_(pinus_ra,0.0,0.0
región_de_arica_y_parinacota,general_lagos,pino_oregón_(pseudotsuga_menzies,0.0,0.0
región_de_arica_y_parinacota,general_lagos,coigüe,0.0,0.0
región_de_arica_y_parinacota,general_lagos,quillay,0.0,0.0
región_de_arica_y_parinacota,general_lagos,raulí,0.0,0.0
región_de_arica_y_parinacota,general_lagos,tamarugo,0.0,0.0
región_de_arica_y_parinacota,general_lagos,otras_especies_exóticas,0.0,0.0
región_de_arica_y_parinacota,general_lagos,otras_coníferas,0.0,0.0
región_de_arica_y_parinacota,general_lagos,otras_especies_nativas,0.0,0.0
región_de_arica_y_parinacota,general_lagos,especie_nativa_y_especie_exótica,0.0,0.0
región_de_tarapacá,total_región,total,24.0,24624.718
región_de_tarapacá,total_región,sin_clasificar,0.0,0.0
región_de_tarapacá,total_región,acacia,0.0,0.0
región_de_tarapacá,total_región,álamo,0.0,0.0
región_de_tarapacá,total_región,aromo,0.0,0.0
región_de_tarapacá,total_región,atriplex_sp,0.0,0.0
región_de_tarapacá,total_región,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_tarapacá,total_región,eucalyptus_nitens,0.0,0.0
región_de_tarapacá,total_región,pino_ponderosa_(pinus_ponderosa),0.0,0.0
región_de_tarapacá,total_región,pino_radiata_o_insigne_(pinus_ra,1.0,0.02
región_de_tarapacá,total_región,pino_oregón_(pseudotsuga_menzies,0.0,0.0
región_de_tarapacá,total_región,coigüe,0.0,0.0
región_de_tarapacá,total_región,quillay,0.0,0.0
región_de_tarapacá,total_región,raulí,0.0,0.0
región_de_tarapacá,total_región,tamarugo,12.0,24622.273
región_de_tarapacá,total_región,otras_especies_exóticas,3.0,0.07
región_de_tarapacá,total_región,otras_coníferas,0.0,0.0
región_de_tarapacá,total_región,otras_especies_nativas,10.0,2.355
región_de_tarapacá,total_región,especie_nativa_y_especie_exótica,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,total,1.0,0.5
región_de_tarapacá,iquique/alto_hospicio,sin_clasificar,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,acacia,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,álamo,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,aromo,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,atriplex_sp,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,eucalyptus_nitens,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,pino_ponderosa_(pinus_ponderosa),0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,pino_radiata_o_insigne_(pinus_ra,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,pino_oregón_(pseudotsuga_menzies,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,coigüe,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,quillay,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,raulí,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,tamarugo,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,otras_especies_exóticas,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,otras_coníferas,0.0,0.0
región_de_tarapacá,iquique/alto_hospicio,otras_especies_nativas,1.0,0.5
región_de_tarapacá,iquique/alto_hospicio,especie_nativa_y_especie_exótica,0.0,0.0
región_de_tarapacá,pozo_almonte,total,22.0,5.09
región_de_tarapacá,pozo_almonte,sin_clasificar,0.0,0.0
región_de_tarapacá,pozo_almonte,acacia,0.0,0.0
región_de_tarapacá,pozo_almonte,álamo,0.0,0.0
región_de_tarapacá,pozo_almonte,aromo,0.0,0.0
región_de_tarapacá,pozo_almonte,atriplex_sp,0.0,0.0
región_de_tarapacá,pozo_almonte,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_tarapacá,pozo_almonte,eucalyptus_nitens,0.0,0.0
región_de_tarapacá,pozo_almonte,pino_ponderosa_(pinus_ponderosa),0.0,0.0
región_de_tarapacá,pozo_almonte,pino_radiata_o_insigne_(pinus_ra,1.0,0.02
región_de_tarapacá,pozo_almonte,pino_oregón_(pseudotsuga_menzies,0.0,0.0
región_de_tarapacá,pozo_almonte,coigüe,0.0,0.0
región_de_tarapacá,pozo_almonte,quillay,0.0,0.0
región_de_tarapacá,pozo_almonte,raulí,0.0,0.0
región_de_tarapacá,pozo_almonte,tamarugo,10.0,3.145
región_de_tarapacá,pozo_almonte,otras_especies_exóticas,3.0,0.07
región_de_tarapacá,pozo_almonte,otras_coníferas,0.0,0.0
región_de_tarapacá,pozo_almonte,otras_especies_nativas,9.0,1.855
región_de_tarapacá,pozo_almonte,especie_nativa_y_especie_exótica,0.0,0.0
región_de_tarapacá,camiña,total,0.0,0.0
región_de_tarapacá,camiña,sin_clasificar,0.0,0.0
región_de_tarapacá,camiña,acacia,0.0,0.0
región_de_tarapacá,camiña,álamo,0.0,0.0
región_de_tarapacá,camiña,aromo,0.0,0.0
región_de_tarapacá,camiña,atriplex_sp,0.0,0.0
región_de_tarapacá,camiña,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_tarapacá,camiña,eucalyptus_nitens,0.0,0.0
región_de_tarapacá,camiña,pino_ponderosa_(pinus_ponderosa),0.0,0.0
región_de_tarapacá,camiña,pino_radiata_o_insigne_(pinus_ra,0.0,0.0
región_de_tarapacá,camiña,pino_oregón_(pseudotsuga_menzies,0.0,0.0
región_de_tarapacá,camiña,coigüe,0.0,0.0
región_de_tarapacá,camiña,quillay,0.0,0.0
región_de_tarapacá,camiña,raulí,0.0,0.0
región_de_tarapacá,camiña,tamarugo,0.0,0.0
región_de_tarapacá,camiña,otras_especies_exóticas,0.0,0.0
región_de_tarapacá,camiña,otras_coníferas,0.0,0.0
región_de_tarapacá,camiña,otras_especies_nativas,0.0,0.0
región_de_tarapacá,camiña,especie_nativa_y_especie_exótica,0.0,0.0
región_de_tarapacá,colchane,total,0.0,0.0
región_de_tarapacá,colchane,sin_clasificar,0.0,0.0
región_de_tarapacá,colchane,acacia,0.0,0.0
región_de_tarapacá,colchane,álamo,0.0,0.0
región_de_tarapacá,colchane,aromo,0.0,0.0
región_de_tarapacá,colchane,atriplex_sp,0.0,0.0
región_de_tarapacá,colchane,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_tarapacá,colchane,eucalyptus_nitens,0.0,0.0
región_de_tarapacá,colchane,pino_ponderosa_(pinus_ponderosa),0.0,0.0
región_de_tarapacá,colchane,pino_radiata_o_insigne_(pinus_ra,0.0,0.0
región_de_tarapacá,colchane,pino_oregón_(pseudotsuga_menzies,0.0,0.0
región_de_tarapacá,colchane,coigüe,0.0,0.0
región_de_tarapacá,colchane,quillay,0.0,0.0
región_de_tarapacá,colchane,raulí,0.0,0.0
región_de_tarapacá,colchane,tamarugo,0.0,0.0
región_de_tarapacá,colchane,otras_especies_exóticas,0.0,0.0
región_de_tarapacá,colchane,otras_coníferas,0.0,0.0
región_de_tarapacá,colchane,otras_especies_nativas,0.0,0.0
región_de_tarapacá,colchane,especie_nativa_y_especie_exótica,0.0,0.0
región_de_tarapacá,huara,total,1.0,24619.0
región_de_tarapacá,huara,sin_clasificar,0.0,0.0
región_de_tarapacá,huara,acacia,0.0,0.0
región_de_tarapacá,huara,álamo,0.0,0.0
región_de_tarapacá,huara,aromo,0.0,0.0
región_de_tarapacá,huara,atriplex_sp,0.0,0.0
región_de_tarapacá,huara,eucalipto_blanco_(eucalyptus_glo,0.0,0.0
región_de_tarapacá,huara,eucalyptus_nitens,0.0,0.0
región_de_tarapacá,huara,pino_ponderosa_(pinus_ponderosa),0.0,0.0
