__total_nacional_region,__total_personas_productoras,tramo_de_edad_anos__total_personas_productoras_naturales__18_24,tramo_de_edad_anos__total_personas_productoras_naturales__25_49,tramo_de_edad_anos__total_personas_productoras_naturales__564,tramo_de_edad_anos__total_personas_productoras_naturales__65_y_mas,tramo_de_edad_anos__total_personas_productoras_naturales__no_declara_edad,tramo_de_edad_anos__productores_hombres__18_24,tramo_de_edad_anos__productores_hombres__25_49,tramo_de_edad_anos__productores_hombres__564,tramo_de_edad_anos__productores_hombres__65_y_mas,tramo_de_edad_anos__productores_hombres__no_declara_edad,tramo_de_edad_anos__productoras_mujeres__18_24,tramo_de_edad_anos__productoras_mujeres__25_49,tramo_de_edad_anos__productoras_mujeres__564,tramo_de_edad_anos__productoras_mujeres__65_y_mas,tramo_de_edad_anos__productoras_mujeres__no_declara_edad,tramo_de_edad_anos__no_sabe._no_responde_3__18_24,tramo_de_edad_anos__no_sabe._no_responde_3__25_49,tramo_de_edad_anos__no_sabe._no_responde_3__564,tramo_de_edad_anos__no_sabe._no_responde_3__65_y_mas,tramo_de_edad_anos__no_sabe._no_responde_3__no_declara_edad
Región del Libertador General Bernardo O'Higgins,7446,20,1538,2947,2940,1,17,1240,2370,2430,1,3,293,559,498,0,0,5,18,12,0
Región del Maule,15514,77,3331,6356,5750,0,55,2395,4674,4367,0,21,908,1616,1311,0,1,28,66,72,0
Región de Ñuble,11470,69,2392,4678,4331,0,46,1688,3381,3188,0,21,678,1243,1070,0,2,26,54,73,0
Región del Biobío,11931,85,2546,4765,4535,0,48,1522,2959,3160,0,34,993,1756,1333,0,3,31,50,42,0
Región de La Araucanía,35692,271,8735,13743,12943,0,153,5114,8804,8765,0,115,3559,4825,4074,0,3,62,114,104,0
Región de Los Ríos,8131,51,1727,3293,3060,0,32,883,1917,1961,0,19,826,1359,1082,0,0,18,17,17,0
Región de Los Lagos,17671,104,3750,6976,6841,0,65,2193,4285,4309,0,38,1544,2644,2478,0,1,13,47,54,0
Región de Aysén del General Carlos Ibáñez del Campo,1878,9,401,743,725,0,5,294,533,517,0,4,102,207,205,0,0,5,3,3,0
Región de Magallanes y de la Antártica Chilena,424,0,92,143,189,0,0,63,91,128,0,0,29,50,58,0,0,0,2,3,0
