total_nacional_region,total_numero_de_upa_4,practicas_de_mejoramiento_de_suelo3__incorporacion_de_materia_organica,practicas_de_mejoramiento_de_suelo3__evitar_erosion_5,practicas_de_mejoramiento_de_suelo3__control_de_carcavas_o_socavones,practicas_de_mejoramiento_de_suelo3__rotacion_de_cultivos,practicas_de_mejoramiento_de_suelo3__pastoreo_rotativo/_rotacional,practicas_de_mejoramiento_de_suelo3__otro_tipo_de_practica,practicas_de_mejoramiento_de_suelo3__no_realizo,practicas_de_mejoramiento_de_suelo3__no_sabe._no_responde
Región del Libertador General Bernardo O'Higgins,9130,4861,330,125,1069,345,158,3597,148
Región del Maule,17400,6620,457,137,2496,1383,221,8602,369
Región de Ñuble,12171,4051,534,99,2820,1494,129,5670,240
Región del Biobío,12448,4646,401,171,2279,1632,119,5960,203
Región de La Araucanía,36552,13255,647,121,8998,5240,242,16508,564
Región de Los Ríos,8749,3504,312,48,1485,2805,70,3450,104
Región de Los Lagos,18343,6397,592,113,4524,6375,240,7236,267
Región de Aysén del General Carlos Ibáñez del Campo,1968,450,72,11,141,476,52,1090,25
Región de Magallanes y de la Antártica Chilena,583,127,23,2,40,147,57,251,24
