total_nacional_region____,permanente__numero_de_personas_segun_sexo__total,permanente__numero_de_personas_segun_sexo__hombres,permanente__numero_de_personas_segun_sexo__mujeres,temporal__puestos_de_trabajo_ocupados_segun_sexo__total,temporal__puestos_de_trabajo_ocupados_segun_sexo__hombres,temporal__puestos_de_trabajo_ocupados_segun_sexo__mujeres
Total Nacional,131319,107999,23320,1904726,1242708,662018
Región de Arica y Parinacota,1399,887,512,11438,7864,3574
Región de Tarapacá,256,190,66,2914,2086,828
Región de Antofagasta,151,117,34,1040,871,169
Región de Atacama,1710,1457,253,41136,27429,13707
Región de Coquimbo,9095,6962,2133,74384,48788,25596
Región de Valparaíso,17371,13905,3466,244866,179681,65185
Región Metropolitana de Santiago,14997,12794,2203,159630,102036,57594
