total_nacional_region__,comuna_6_7_8__,categorias_de_uso_del_suelo__total__numero_de_upa,categorias_de_uso_del_suelo__total__superficie_ha,categorias_de_uso_del_suelo__cereales__numero_de_upa,categorias_de_uso_del_suelo__cereales__superficie_ha,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__numero_de_upa,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__superficie_ha,categorias_de_uso_del_suelo__cultivos_industriales__numero_de_upa,categorias_de_uso_del_suelo__cultivos_industriales__superficie_ha,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__numero_de_upa,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__superficie_ha,categorias_de_uso_del_suelo__frutales__numero_de_upa,categorias_de_uso_del_suelo__frutales__superficie_ha,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__numero_de_upa,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__superficie_ha,categorias_de_uso_del_suelo__flores_de_corte__numero_de_upa,categorias_de_uso_del_suelo__flores_de_corte__superficie_ha,categorias_de_uso_del_suelo__semilleros__numero_de_upa,categorias_de_uso_del_suelo__semilleros__superficie_ha,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__numero_de_upa,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__superficie_ha,categorias_de_uso_del_suelo__forrajeras__numero_de_upa,categorias_de_uso_del_suelo__forrajeras__superficie_ha,categorias_de_uso_del_suelo__plantaciones_forestales__numero_de_upa,categorias_de_uso_del_suelo__plantaciones_forestales__superficie_ha,categorias_de_uso_del_suelo__bosque_nativo__numero_de_upa,categorias_de_uso_del_suelo__bosque_nativo__superficie_ha,categorias_de_uso_del_suelo__praderas_mejoradas__numero_de_upa,categorias_de_uso_del_suelo__praderas_mejoradas__superficie_ha,categorias_de_uso_del_suelo__praderas_naturales__numero_de_upa,categorias_de_uso_del_suelo__praderas_naturales__superficie_ha,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__numero_de_upa,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__superficie_ha,categorias_de_uso_del_suelo__matorrales__numero_de_upa,categorias_de_uso_del_suelo__matorrales__superficie_ha,categorias_de_uso_del_suelo__terrenos_no_productivos__numero_de_upa,categorias_de_uso_del_suelo__terrenos_no_productivos__superficie_ha,categorias_de_uso_del_suelo__infraestructura__numero_de_upa,categorias_de_uso_del_suelo__infraestructura__superficie_ha
Región del Maule,Licantén,204,17051.42943299756,77,974.870679781836,96,797.11265949162,0,0,37,42.8444799143,32,124.7522880151,3,120.5,2,0.6,2,15.5,6,1.502,74,279.56,97,7230.909211489047,32,2248.163190975294,3,11,82,1292.323828976363,34,447.957414146288,65,2514.337016761874,45,291.084966255734,150,658.4116971901001
Región del Maule,Molina,450,73285.77381600578,64,613.0792307696,36,37.591,6,118.8,39,60.698,284,4395.154915862,90,3551.7978781712,2,2.4,6,163.81,15,29.15,57,371.1037936331,57,15335.56890412983,20,9857.417119038915,31,820.625712077,64,2410.891719677648,125,3517.452736838429,19,2646.549113706872,58,28373.9834211008,337,979.700271000373
Región del Maule,Rauco,330,15265.90600002991,54,271.98706391978,8,12.91563100575,1,2,73,224.8524297843,130,1347.358706337321,17,675.343680114864,1,0.75,1,4,10,7.5,29,101.7565214837,12,307.00513151592,37,4598.07,1,21.164556963,96,1963.448063569132,61,534.919793050444,9,4206.273417741501,20,630.0600000000001,226,356.501004544204
Región del Maule,Romeral,416,86390.90698050674,17,125.45,11,10.548,0,0,14,4.3593,360,3851.705975776059,13,411.713613800806,0,0,3,13.2,19,21.17,20,84.43,30,2059.979994993521,26,17518.02891675086,18,147.03,108,11052.23364951742,94,854.487907597518,10,1448.63793416128,49,48230.35731555991,283,557.574372349365
Región del Maule,Sagrada Familia,393,40152.48399838931,64,399.45448472935,11,26.5,16,253.67,107,473.55671549895,164,6151.599331501263,105,2038.00190173772,3,3.006,8,98.9,3,15.8,32,453.922914771767,18,4713.809939562156,34,5855.520333044671,12,322.174309979,79,8320.785299295081,57,1463.11213271991,35,5251.542739101428,34,2958.551751094966,176,1352.576145353051
Región del Maule,Teno,863,41016.60469013894,217,1496.69293608022,85,204.93436899425,25,143.4,103,506.2157702157,544,7550.484594435918,29,810.07671905586,6,2.454,16,78.83,19,64.88,110,533.43,39,201.34211246026,18,12837.67499677182,36,508.810443037,270,4130.944243248351,188,1844.567553066002,14,302.612078625372,123,8812.155,541,987.09987414818
Región del Maule,Vichuquén,140,20663.17117483759,43,161.27,26,22.32788108795,0,0,12,2.707,25,34.388019939341,2,17.559308223516,3,0.606,0,0,0,0,11,43.1881186656,85,10720.15335475277,24,2617.201706973802,7,221,88,2476.6690148755,8,28.417470730614,14,3059.038587949167,11,769.165087182598,73,489.479624456734
Región del Maule,Linares,1090,49423.00287135007,382,4432.11321301765,78,217.4635236166,10,145.0262195117,219,277.0512273751,428,2978.599028146613,25,240.15,8,1.129,17,143.02921021426,17,22.4748197189,188,956.67824381436,87,3253.082610953021,184,8529.29712390596,108,609.26613048429,478,3979.719052106293,218,2515.731239403132,135,841.001104995187,187,19261.60966320159,871,1019.581460885419
Región del Maule,Colbún,485,48428.04097989463,143,1532.6414718599,55,162.9752802204,8,159.6187499993,67,122.4422595183,228,2357.227881012375,4,36.95,1,0.012,14,256.93645237444,6,13.6770833333,118,645.5020272135,40,5587.013285479843,72,14809.62155058932,128,1031.3648333326,145,1528.848092765875,55,657.4240064384489,25,2380.317774072061,63,16332.9343912312,354,812.533840453764
Región del Maule,Longaví,1652,63985.88539409551,785,7357.834376144,175,389.8619615392,62,350.80625,391,1170.81395,953,7793.035011522989,5,56.726621573068,4,0.6653124894,19,224.9125,10,35.0490469336,230,1130.03876367634,53,15199.30532678585,68,12611.74537255697,213,1960.1215072465,740,5942.174907935175,220,2260.681487931453,92,1754.134750316024,199,3846.320418647285,1233,1901.657828797666
Región del Maule,Parral,1257,88532.21993021821,664,12821.7315612678,105,236.83030395129,34,734.5,240,471.88749218526,508,3267.167677329695,9,58.7624447911,5,1.594,23,967.43166666655,4,2.712,114,779.06775661069,101,18699.10510988348,77,16630.07176378774,72,583.2598875126,723,18851.68218634669,245,4547.130886410123,119,711.489564980837,221,7649.274655730564,907,1518.520972763803
