total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Total Nacional,Total Nacional,Hortalizas,Ají,2025,617.3546089998999,487.2456829999,130.108926,0
Total Nacional,Total Nacional,Hortalizas,Ajo,1809,2062.78277814,2050.59107814,12.1917,0
Total Nacional,Total Nacional,Hortalizas,Ajo chilote,820,378.6932501,376.5252501,2.168,0
Total Nacional,Total Nacional,Hortalizas,Albahaca,317,93.296979,83.03254,10.264439,0
Total Nacional,Total Nacional,Hortalizas,Alcachofa,286,953.335958,953.0345,0.301458,0
Total Nacional,Total Nacional,Hortalizas,Alcaparra,3,1.5,1.5,0,0
Total Nacional,Total Nacional,Hortalizas,Alcayota,48,26.0766,26.0726,0.004,0
Total Nacional,Total Nacional,Hortalizas,Apio,549,919.1850999999999,906.2773,12.9078,0
Total Nacional,Total Nacional,Hortalizas,Arveja Verde,2372,1383.72888,1378.92228,4.8066,0
Total Nacional,Total Nacional,Hortalizas,Berenjena,189,137.768528,130.4806,7.287928,0
Total Nacional,Total Nacional,Hortalizas,Berro,34,6.67,1.8005,4.8695,0
Total Nacional,Total Nacional,Hortalizas,Betarraga,1322,1021.787643,1011.779103,10.00854,0
Total Nacional,Total Nacional,Hortalizas,Brócoli,959,2220.003067,2207.05735,12.945717,0
Total Nacional,Total Nacional,Hortalizas,Bunching (consumo),60,47.113,46.13,0.983,0
Total Nacional,Total Nacional,Hortalizas,Caigua,9,2.751,2.251,0.5,0
Total Nacional,Total Nacional,Hortalizas,Camote,45,63.51600000000001,63.5155,0.0005,0
Total Nacional,Total Nacional,Hortalizas,Cebolla,3512,6191.087638476301,6180.9365879999,10.1510504764,0
Total Nacional,Total Nacional,Hortalizas,Cebollín (incl. baby y otros),634,604.34463,593.051,11.29363,0
Total Nacional,Total Nacional,Hortalizas,Chalota,120,7.2058,6.1761,1.0297,0
Total Nacional,Total Nacional,Hortalizas,Choclo,2796,3641.6462,3609.9327,31.7135,0
Total Nacional,Total Nacional,Hortalizas,Choclo dulce (maíz dulce),979,1591.9974,1574.9379,17.0595,0
Total Nacional,Total Nacional,Hortalizas,Ciboultte,305,61.166613,54.342517,6.824096,0
Total Nacional,Total Nacional,Hortalizas,Cilantro,3507,1149.859349102,1036.71274,113.146609102,0
Total Nacional,Total Nacional,Hortalizas,Coliflor,771,1316.943162,1310.638657,6.304505,0
Total Nacional,Total Nacional,Hortalizas,Endibia,3,11,11,0,0
Total Nacional,Total Nacional,Hortalizas,Espárrago,655,3861.3950999845,3861.3782999845,0.0168,0
Total Nacional,Total Nacional,Hortalizas,Espinaca,808,453.725295,421.5896,32.135695,0
Total Nacional,Total Nacional,Hortalizas,Haba,2266,1321.403775,1317.0566,4.347175,0
Total Nacional,Total Nacional,Hortalizas,Huerta casera (princ. autoconsumo),23665,1898.9158701001,1691.4244701001,207.4914,0
Total Nacional,Total Nacional,Hortalizas,Kale (o col crespa),86,25.95795,24.99995,0.9580000000000001,0
Total Nacional,Total Nacional,Hortalizas,Kohlrabi (o colirrábano),5,2.505,2.505,0,0
Total Nacional,Total Nacional,Hortalizas,Lechuga,6045,4774.292436373999,4403.07825,371.214186374,0
Total Nacional,Total Nacional,Hortalizas,Locoto (o rocoto),31,15.2665,14.775,0.4915,0
Total Nacional,Total Nacional,Hortalizas,Lufa,4,0.896,0.89,0.006,0
Total Nacional,Total Nacional,Hortalizas,Melón,890,1456.91027,1368.85745,88.05282,0
