total_nacional_region__,comuna_56__,total_superficie_ha__riego_ha,total_superficie_ha__secano_ha,total_superficie_ha__sin_clasificar_ha,cereales__riego_ha,cereales__secano_ha,cereales__sin_clasificar_ha,leguminosas_y_tuberculos__riego_ha,leguminosas_y_tuberculos__secano_ha,leguminosas_y_tuberculos__sin_clasificar_ha,cultivos_industriales__riego_ha,cultivos_industriales__secano_ha,cultivos_industriales__sin_clasificar_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__riego_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__secano_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__sin_clasificar_ha,frutales__riego_ha,frutales__secano_ha,frutales__sin_clasificar_ha,vides_para_vinificacion_y_uvas_pisqueras__riego_ha,vides_para_vinificacion_y_uvas_pisqueras__secano_ha,vides_para_vinificacion_y_uvas_pisqueras__sin_clasificar_ha,flores_de_corte__riego_ha,flores_de_corte__secano_ha,flores_de_corte__sin_clasificar_ha,semilleros__riego_ha,semilleros__secano_ha,semilleros__sin_clasificar_ha,viveros_y_cesped_alfombra__riego_ha,viveros_y_cesped_alfombra__secano_ha,viveros_y_cesped_alfombra__sin_clasificar_ha,forrajeras__riego_ha,forrajeras__secano_ha,forrajeras__sin_clasificar_ha,praderas_mejoradas__riego_ha,praderas_mejoradas__secano_ha,praderas_mejoradas__sin_clasificar_ha
Región del Maule,Licantén,1344.471894557,562.772162388,463.1152823283999,225.2571253519,287.622162388,461.9913920419,559.7157692051,238.11,0.3868902865,0,0,0,42.7745,0,0.087,122.1725,1.93,0.65,120,0.5,0,0.6,0,0,15.5,0,0,1.502,0,0,253.95,26.61,0,3,8,0
Región del Maule,Molina,10094.8304146509,38.7,42.98,602.6492307696,21,0,38.126,0,0,118.8,0,0,59.693,1.1,0.1,4360.2748,2.6,32.28,3551.1978781712,0,0.6,2.4,0,0,153.81,0,10,29.15,0,0,372.1037936331,0,0,806.625712077,14,0
Región del Maule,Rauco,2602.0136534871,84.37,0,260.5870639197,12.9,0,12.4156310058,0.5,0,2,0,0,238.1074,0,0,1346.3888,0.97,0,629.3436801149,46,0,0.75,0,0,4,0,0,7.5,0,0,79.7565214837,24,0,21.164556963,0,0
Región del Maule,Romeral,4667.4618138008,5.245,0,127.95,0.5,0,10.548,0,0,0,0,0,4.2144,0.245,0,3847.2058,4.5,0,411.7136138008,0,0,0,0,0,13.2,0,0,21.17,0,0,84.42999999999999,0,0,147.03,0,0
Región del Maule,Sagrada Familia,9553.267882433498,723.5618287844,2.156,372.0544847294,29.4,0,33.5,0,0,253.67,0,0,475.2566,0,0.5,6150.9,0.5635,0.136,1953.7119017377,82.77,1.52,3.006,0,0,98.89999999999999,0,0,15.8,0,0,187.2945859874,297.8283287844,0,9.174309979,313,0
Región del Maule,Teno,11790.0596671673,110.249,16.13,1500.2129360802,0,0.28,206.3343689942,0,0.2,143.4,0,0,508.3157,4.2,0.5,7520.4355,30.049,0,808.0767190559,2,0,2.454,0,0,68.33,6,4.5,64.88,0,0,469.91,58,9.55,497.710443037,10,1.1
Región del Maule,Vichuquén,90.37495597819999,479.6714519989,3,12.7,148.57,0,14.497881088,5.83,3,0,0,0,2.207,0.5,0,29.3881,5,0,17.5593082235,0,0,0.606,0,0,0,0,0,0,0,0,1.4166666667,110.7714519989,0,12,209,0
Región del Maule,Linares,9707.132562528199,354.6809947458,29.88,4214.8382182718,199.1949947458,24.28,227.156450446,0,0.5,144.0262195117,0,1,276.4632,1.058,0,2960.7491,17.85,0,234.15,6,0,1.129,0,0,143.0292,0,0,22.2748,0.2,0,894.0502438144,110.378,4.1,589.2661304843,20,0
Región del Maule,Colbún,6301.610062625699,59.12000000000001,14.18,1521.8114718599,34.5,0.83,157.8762802204,5.3,7.6,159.6187499993,0,0,122.4332,0.02,0,2357.1279,0.1,0,34.7,1.5,0.75,0.012,0,0,256.9365,0,0,13.6771,0,0,653.0520272135,11.7,4,1024.3648333326,6,1
Región del Maule,Longaví,19969.03807492489,571.7350052541999,60.427,6912.0123708898,463.7850052542,17.117,389.2519615392,3.65,3.01,349.30625,0,1.5,1166.1599,7.3,0,7755.6349,1.4,36,54.0266215731,2.7,0,0.6743,0,0,224.9125,0,0,35.049,0,0,1128.1887636763,88.1,1.3,1953.8215072465,4.8,1.5
